 ,Dec-00,2000,Dec-01,2001,Dec-02,2002,Dec-03,2003,Dec-04,2004,Dec-05,2005,Dec-06,2006,Dec-07,2007,Dec-08,2008,Dec-09,2009,Dec-10,2010,Dec-11,2011,Dec-12,2012,Dec-13,2013,Dec-14,2014,Dec-15,2015,Dec-16,2016,Dec-17,2017,Dec-18,2018,Dec-19,2019,Dec-20,2020,Dec-21,2021,Dec-22,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horsham,138,87.30%,145,94.20%,111,92.50%,152,91.00%,138,83.10%,114,90.50%,133,89.30%,151,91.50%,151,90.40%,138,82.60%,139,84.80%,123,80.40%,117,74.10%,122,74.80%,114,68.30%,113,70.60%,113,71.50%,101,69.70%,126,68.50%,113,63.50%,80,56.70%,78,52.00%,79,49.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hume,262,52.60%,324,67.10%,351,65.40%,438,71.20%,416,69.20%,422,74.60%,441,69.80%,312,52.90%,192,29.60%,112,16.70%,125,15.40%,180,19.70%,236,24.00%,219,21.70%,281,25.40%,272,22.90%,216,17.20%,129,9.30%,113,8.60%,179,11.90%,224,15.50%,361,23.30%,309,22.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigo,64,94.10%,70,95.90%,69,93.20%,63,88.70%,59,85.50%,62,89.90%,51,72.90%,63,76.80%,47,87.00%,49,75.40%,60,87.00%,44,71.00%,63,75.90%,47,71.20%,49,73.10%,56,73.70%,47,69.10%,36,62.10%,40,61.50%,32,53.30%,38,49.40%,15,27.30%,7,13.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston,239,23.70%,304,30.70%,260,25.60%,308,28.40%,225,22.90%,197,23.10%,171,20.90%,89,10.30%,60,6.80%,36,3.70%,32,3.10%,26,2.40%,23,2.00%,27,2.30%,21,1.80%,27,2.30%,12,1.00%,14,1.10%,13,1.00%,17,1.30%,18,1.50%,24,1.70%,13,1.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knox,157,28.10%,284,46.00%,272,45.00%,298,46.60%,259,42.30%,216,38.20%,199,35.60%,81,14.10%,69,11.00%,32,5.80%,31,4.80%,43,5.80%,47,7.00%,27,3.80%,37,5.20%,27,3.10%,34,3.90%,20,2.10%,25,2.70%,22,2.50%,16,2.10%,23,2.80%,20,2.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latrobe,456,94.60%,464,96.50%,465,93.60%,511,93.90%,481,90.40%,490,92.50%,470,90.60%,465,86.60%,460,88.60%,458,79.00%,485,81.60%,462,79.90%,465,82.40%,509,81.30%,461,81.00%,490,78.40%,481,78.60%,481,78.00%,401,75.00%,404,74.50%,224,56.30%,238,47.20%,188,40.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loddon,11,100.00%,11,100.00%,11,100.00%,14,100.00%,19,100.00%,16,100.00%,13,100.00%,16,100.00%,14,100.00%,17,100.00%,12,92.30%,12,100.00%,13,100.00%,11,100.00%,14,93.30%,19,100.00%,5,100.00%,12,100.00%,9,90.00%,13,100.00%,10,90.90%,10,83.30%,11,84.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedon Ranges,79,63.70%,101,74.30%,101,69.70%,102,64.20%,124,69.70%,110,69.20%,120,78.40%,134,72.40%,89,50.60%,64,37.00%,34,20.00%,39,22.80%,41,22.70%,31,15.70%,44,22.10%,29,15.00%,16,9.40%,17,9.60%,9,5.80%,12,6.30%,7,3.80%,3,1.80%,4,2.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manningham,32,7.10%,63,13.30%,60,12.10%,59,12.10%,65,14.30%,47,12.90%,39,10.50%,20,5.40%,13,2.90%,5,1.10%,13,2.60%,13,2.40%,12,2.10%,9,1.70%,20,3.50%,10,1.50%,7,1.00%,6,0.80%,5,0.60%,11,1.30%,8,1.00%,7,0.90%,11,1.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansfield,34,91.90%,34,100.00%,22,91.70%,38,90.50%,36,87.80%,29,78.40%,11,57.90%,43,86.00%,35,89.70%,31,83.80%,28,75.70%,23,67.60%,26,63.40%,17,58.60%,26,56.50%,35,63.60%,26,55.30%,16,34.00%,13,27.10%,15,32.60%,8,19.00%,3,7.30%,6,12.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maribyrnong,294,45.60%,247,38.50%,283,42.70%,241,35.20%,268,37.00%,224,36.10%,197,29.50%,101,15.70%,50,7.10%,45,5.70%,39,4.50%,54,5.50%,52,5.20%,46,4.60%,64,5.20%,56,4.70%,37,3.10%,36,3.20%,27,2.40%,24,1.70%,41,3.00%,69,4.20%,87,6.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maroondah,151,25.40%,228,37.40%,253,41.00%,231,41.80%,239,40.30%,214,39.50%,184,35.50%,76,16.70%,59,10.40%,27,5.00%,20,3.80%,21,3.70%,28,4.50%,20,3.10%,25,3.50%,24,3.40%,25,3.40%,20,2.70%,16,2.20%,20,2.60%,10,1.60%,12,1.70%,10,1.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melbourne,22,1.60%,24,1.50%,15,0.80%,22,1.10%,17,0.80%,19,0.70%,19,0.80%,28,1.30%,18,0.80%,27,1.00%,16,0.50%,34,1.00%,26,0.70%,51,1.30%,36,0.80%,68,1.40%,50,1.10%,58,1.20%,73,1.50%,76,1.50%,143,1.60%,199,2.50%,64,0.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melton,155,76.40%,161,74.90%,191,77.60%,279,82.10%,295,80.80%,315,82.20%,331,79.20%,328,64.40%,310,59.70%,398,56.40%,414,49.60%,544,57.90%,521,57.90%,507,53.00%,482,51.20%,466,46.70%,441,41.90%,408,35.70%,381,31.20%,538,38.10%,661,42.10%,962,55.40%,944,52.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merri-bek,277,21.70%,308,23.70%,299,24.20%,360,26.40%,325,24.30%,273,22.10%,238,20.40%,89,8.40%,59,4.80%,43,3.00%,39,2.50%,55,3.10%,57,3.20%,51,2.80%,73,3.70%,50,2.40%,53,2.50%,34,1.60%,40,1.80%,38,1.70%,29,1.30%,80,3.10%,69,3.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mildura,265,74.90%,319,85.50%,297,82.50%,326,84.20%,338,81.10%,302,83.90%,328,85.00%,300,84.70%,396,88.60%,379,87.90%,388,87.60%,356,84.60%,348,85.50%,334,81.50%,350,76.40%,300,73.30%,293,66.60%,297,69.10%,254,65.00%,223,53.00%,155,47.70%,205,56.50%,174,51.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell,119,87.50%,132,90.40%,120,89.60%,145,85.30%,144,84.70%,150,84.70%,151,87.80%,128,74.90%,141,72.30%,118,64.50%,84,50.30%,99,55.60%,115,59.30%,145,71.10%,171,72.50%,154,66.70%,158,64.20%,114,52.80%,117,45.20%,134,48.90%,109,39.80%,119,50.90%,172,58.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moira,176,96.70%,156,98.10%,123,96.10%,133,89.90%,120,91.60%,143,90.50%,142,94.70%,147,89.10%,170,92.90%,171,81.40%,157,80.50%,140,75.30%,143,77.30%,149,77.60%,148,72.20%,158,80.60%,131,65.80%,146,75.30%,113,64.90%,115,66.50%,89,61.40%,63,50.00%,44,38.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monash,181,16.60%,252,23.40%,254,24.50%,271,24.60%,247,22.50%,212,21.40%,180,17.30%,72,7.20%,38,3.60%,30,2.70%,44,3.40%,27,2.10%,36,2.90%,40,3.10%,41,2.80%,40,2.60%,33,2.20%,29,2.00%,16,1.10%,31,2.10%,45,2.50%,82,4.00%,49,3.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonee Valley,110,12.70%,167,18.20%,159,18.00%,183,20.30%,150,18.00%,181,20.60%,147,18.20%,73,9.70%,51,5.60%,24,3.00%,13,1.40%,16,1.90%,24,2.40%,23,2.20%,23,2.20%,40,3.30%,21,1.80%,20,1.60%,23,1.70%,14,1.20%,23,1.70%,49,3.60%,25,2.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moorabool,76,95.00%,81,96.40%,87,92.60%,84,93.30%,77,85.60%,80,84.20%,94,93.10%,93,84.50%,81,75.70%,89,70.60%,59,54.10%,83,68.60%,89,59.70%,96,66.20%,89,69.50%,74,55.20%,74,56.90%,48,40.30%,35,28.70%,51,33.80%,34,23.00%,34,22.80%,38,28.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mornington Penin'a,468,63.80%,573,69.30%,533,64.50%,601,65.20%,568,61.50%,617,68.90%,478,64.00%,397,48.90%,376,40.60%,280,29.80%,162,18.20%,235,23.90%,259,22.60%,238,21.40%,265,24.10%,154,15.40%,106,10.40%,73,7.20%,51,5.60%,57,5.60%,23,3.10%,8,1.20%,13,1.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Alexander,80,93.00%,97,95.10%,81,88.00%,70,83.30%,66,71.00%,81,78.60%,74,77.10%,87,77.70%,73,78.50%,57,76.00%,51,51.00%,42,47.70%,31,38.80%,30,32.30%,46,43.40%,36,37.10%,28,34.10%,23,27.10%,14,17.10%,19,24.10%,5,8.90%,4,6.60%,8,15.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moyne,37,90.20%,46,90.20%,34,79.10%,45,80.40%,27,60.00%,40,65.60%,56,69.10%,40,74.10%,44,80.00%,31,53.40%,39,59.10%,35,55.60%,39,62.90%,37,59.70%,37,59.70%,37,55.20%,33,52.40%,36,64.30%,32,57.10%,22,44.00%,12,27.90%,13,32.50%,14,30.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murrindindi,47,94.00%,53,94.60%,43,100.00%,54,85.70%,52,80.00%,60,89.60%,50,94.30%,37,84.10%,52,77.60%,38,82.60%,41,71.90%,48,76.20%,45,72.60%,35,67.30%,31,58.50%,37,67.30%,25,49.00%,37,56.90%,30,52.60%,28,54.90%,25,48.10%,17,41.50%,15,38.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nillumbik,15,11.00%,17,11.90%,27,19.40%,28,18.10%,16,12.10%,18,14.90%,15,12.40%,7,5.70%,4,3.00%,4,2.20%,4,2.20%,46,18.20%,62,22.20%,72,24.40%,87,27.60%,77,25.20%,74,26.20%,73,22.10%,49,16.30%,48,15.80%,35,13.20%,55,18.70%,41,16.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Grampians,55,98.20%,68,98.60%,53,100.00%,86,98.90%,69,97.20%,47,97.90%,69,98.60%,63,94.00%,62,93.90%,75,96.20%,73,97.30%,59,96.70%,73,96.10%,44,88.00%,54,87.10%,71,92.20%,68,91.90%,70,97.20%,56,86.20%,68,86.10%,31,70.50%,38,70.40%,42,72.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Phillip,41,1.90%,35,1.60%,34,1.50%,38,1.70%,26,1.10%,31,1.50%,18,0.90%,9,0.50%,10,0.50%,6,0.30%,12,0.60%,9,0.50%,12,0.60%,12,0.50%,17,0.80%,14,0.70%,12,0.60%,14,0.70%,14,0.70%,21,1.10%,13,0.50%,30,1.30%,12,0.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrenees,6,85.70%,13,92.90%,12,100.00%,7,100.00%,16,100.00%,14,100.00%,11,78.60%,7,87.50%,12,92.30%,7,87.50%,16,100.00%,12,100.00%,12,100.00%,17,89.50%,20,83.30%,15,83.30%,18,100.00%,14,100.00%,16,84.20%,14,66.70%,10,62.50%,3,37.50%,7,63.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queenscliffe,15,75.00%,15,71.40%,7,46.70%,13,56.50%,11,61.10%,9,64.30%,5,41.70%,4,30.80%,0,0.00%,1,12.50%,1,16.70%,1,6.30%,3,23.10%,3,27.30%,3,50.00%,2,16.70%,1,12.50%,0,0.00%,0,0.00%,1,16.70%,1,9.10%,1,16.70%,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Gippsland,102,99.00%,88,95.70%,83,94.30%,104,92.00%,84,91.30%,101,91.00%,94,95.90%,103,88.80%,92,80.70%,103,78.00%,105,80.80%,99,68.30%,120,75.00%,112,80.60%,119,82.10%,120,80.50%,127,81.90%,102,80.30%,72,69.20%,78,68.40%,53,58.90%,46,44.70%,36,37.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Grampians,110,100.00%,85,98.80%,76,98.70%,72,92.30%,63,82.90%,67,78.80%,55,78.60%,84,84.00%,76,85.40%,75,91.50%,66,78.60%,60,72.30%,68,80.00%,85,85.90%,82,92.10%,96,88.90%,107,93.90%,82,89.10%,66,79.50%,58,79.50%,51,67.10%,46,63.00%,42,60.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonnington,22,1.50%,22,1.40%,10,0.70%,20,1.30%,18,1.20%,20,1.50%,16,1.20%,11,0.80%,15,1.00%,6,0.40%,8,0.50%,6,0.40%,6,0.30%,13,0.60%,7,0.30%,12,0.50%,23,1.10%,25,1.20%,11,0.50%,29,1.30%,20,0.80%,30,1.20%,13,0.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strathbogie,31,100.00%,29,96.70%,32,97.00%,35,92.10%,40,100.00%,33,91.70%,29,96.70%,37,90.20%,34,82.90%,26,83.90%,26,63.40%,36,73.50%,41,80.40%,46,79.30%,29,46.80%,26,65.00%,42,71.20%,45,62.50%,37,66.10%,34,57.60%,23,54.80%,22,36.70%,9,17.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surf Coast,72,59.50%,56,53.30%,59,44.40%,71,51.40%,68,41.50%,48,34.30%,45,28.80%,39,22.50%,41,22.90%,38,19.50%,23,12.70%,18,9.80%,20,8.90%,23,11.10%,20,10.10%,21,9.20%,13,6.00%,4,1.70%,5,2.30%,33,10.20%,8,2.90%,10,3.90%,4,1.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swan Hill,113,85.60%,111,90.20%,141,91.60%,97,85.10%,92,82.90%,114,86.40%,106,85.50%,100,83.30%,126,88.70%,113,86.30%,119,81.50%,124,86.70%,121,84.60%,105,84.00%,104,81.90%,104,86.70%,86,79.60%,85,80.20%,86,79.60%,79,65.80%,50,56.80%,55,55.00%,44,51.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towong,13,100.00%,17,100.00%,9,100.00%,16,94.10%,10,71.40%,22,95.70%,17,85.00%,18,94.70%,17,100.00%,19,76.00%,23,95.80%,22,100.00%,25,92.60%,24,88.90%,23,92.00%,26,92.90%,18,100.00%,15,78.90%,22,100.00%,18,100.00%,6,75.00%,10,76.90%,11,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wangaratta,131,94.90%,164,94.80%,146,95.40%,152,93.30%,126,86.30%,114,83.20%,127,80.90%,117,82.40%,123,82.00%,118,78.70%,130,82.80%,126,82.90%,106,72.60%,135,80.80%,130,73.40%,166,81.00%,132,72.10%,117,75.00%,92,65.70%,91,53.20%,73,47.10%,41,27.90%,31,22.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrnambool,211,81.80%,221,88.40%,208,69.10%,172,61.00%,149,54.60%,171,57.60%,158,54.10%,183,59.60%,173,54.10%,90,36.10%,103,30.70%,106,32.30%,135,37.30%,161,41.80%,196,51.70%,169,49.90%,144,42.00%,143,48.10%,86,33.70%,69,28.70%,43,21.30%,31,14.30%,23,11.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellington,242,93.10%,234,95.90%,233,91.70%,237,89.10%,228,89.40%,187,86.60%,194,86.20%,194,83.60%,176,74.90%,202,73.20%,186,69.90%,180,72.90%,224,75.70%,191,71.00%,200,69.70%,207,72.10%,236,71.50%,238,74.10%,234,78.50%,183,68.00%,119,50.60%,73,32.00%,72,30.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Wimmera,7,100.00%,8,100.00%,8,100.00%,4,100.00%,7,100.00%,5,100.00%,7,100.00%,9,100.00%,5,100.00%,5,100.00%,10,100.00%,7,100.00%,5,100.00%,7,100.00%,8,100.00%,6,100.00%,2,66.70%,6,100.00%,4,100.00%,3,100.00%,8,100.00%,10,100.00%,7,87.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitehorse,105,11.70%,144,15.90%,154,17.10%,169,17.30%,140,15.40%,133,15.20%,94,11.60%,37,4.40%,29,3.20%,27,2.70%,19,1.70%,24,2.10%,26,2.20%,26,2.10%,43,3.30%,61,4.20%,26,1.60%,19,1.10%,32,2.00%,45,2.70%,30,1.70%,57,3.00%,39,2.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whittlesea,199,43.20%,288,58.20%,291,56.10%,356,60.50%,348,60.20%,329,60.00%,307,60.20%,209,38.10%,100,17.20%,74,12.10%,90,11.40%,86,10.10%,177,19.20%,156,16.50%,223,22.40%,217,18.70%,213,18.70%,117,10.40%,102,9.40%,163,13.20%,150,13.30%,241,19.80%,195,16.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
