Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population",LGA,LGATRIM
2019,December,4 Western, Buloke,241,"3,913.0", BULOKE,Buloke
2019,December,4 Western, Campaspe,"2,918","7,662.0", CAMPASPE,Campaspe
2019,December,4 Western, Central Goldfields,892,"6,690.2", CENTRAL GOLDFIELDS,Central Goldfields
2019,December,4 Western, Colac-Otway,"1,286","5,842.5", COLAC-OTWAY,Colac-Otway
2019,December,4 Western, Corangamite,523,"3,237.6", CORANGAMITE,Corangamite
2019,December,4 Western, Gannawarra,630,"5,972.1", GANNAWARRA,Gannawarra
2019,December,4 Western, Glenelg,"1,080","5,408.1", GLENELG,Glenelg
2019,December,4 Western, Golden Plains,485,"2,039.7", GOLDEN PLAINS,Golden Plains
2019,December,4 Western, Greater Bendigo,"8,438","7,147.0", GREATER BENDIGO,Greater Bendigo
2019,December,4 Western, Greater Geelong,"16,488","6,346.9", GREATER GEELONG,Greater Geelong
2019,December,4 Western, Hepburn,724,"4,501.9", HEPBURN,Hepburn
2019,December,4 Western, Hindmarsh,229,"4,044.5", HINDMARSH,Hindmarsh
2019,December,4 Western, Horsham,"1,320","6,542.4", HORSHAM,Horsham
2019,December,4 Western, Loddon,373,"4,895.0", LODDON,Loddon
2019,December,4 Western, Macedon Ranges,"1,744","3,481.2", MACEDON RANGES,Macedon Ranges
2019,December,4 Western, Mildura,"5,550","9,786.8", MILDURA,Mildura
2019,December,4 Western, Moorabool,"1,596","4,464.5", MOORABOOL,Moorabool
2019,December,4 Western, Mount Alexander,911,"4,630.9", MOUNT ALEXANDER,Mount Alexander
2019,December,4 Western, Moyne,505,"2,974.6", MOYNE,Moyne
2019,December,4 Western, Northern Grampians,764,"6,532.1", NORTHERN GRAMPIANS,Northern Grampians
2019,December,4 Western, Pyrenees,411,"5,525.7", PYRENEES,Pyrenees
2019,December,4 Western, Queenscliffe,105,"3,537.7", QUEENSCLIFFE,Queenscliffe
2019,December,4 Western, Southern Grampians,945,"5,776.3", SOUTHERN GRAMPIANS,Southern Grampians
2019,December,4 Western, Surf Coast,"1,003","2,935.8", SURF COAST,Surf Coast
2019,December,4 Western, Swan Hill,"1,872","8,753.0", SWAN HILL,Swan Hill
2019,December,4 Western, Warrnambool,"2,604","7,427.3", WARRNAMBOOL,Warrnambool
2019,December,4 Western, West Wimmera,131,"3,296.4", WEST WIMMERA,West Wimmera
2019,December,4 Western, Yarriambiack,297,"4,453.4", YARRIAMBIACK,Yarriambiack
2019,December,4 Western,Total,"63,845","6,272.8",TOTAL,Total
2019,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,354",, JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,Justice Institutions and Immigration Facilities
2019,December,Justice Institutions and Immigration Facilities,Total,"1,354",,TOTAL,Total
2019,December,Unincorporated Vic, Unincorporated Vic,107,, UNINCORPORATED VIC,Unincorporated Vic
2019,December,Unincorporated Vic,Total,107,,TOTAL,Total
2018,December,1 North West Metro, Banyule,"7,165","5,530.8", BANYULE,Banyule
2018,December,1 North West Metro, Brimbank,"14,572","7,044.8", BRIMBANK,Brimbank
2018,December,1 North West Metro, Darebin,"11,604","7,391.1", DAREBIN,Darebin
2018,December,1 North West Metro, Hobsons Bay,"4,813","5,062.1", HOBSONS BAY,Hobsons Bay
2018,December,1 North West Metro, Hume,"15,543","6,898.0", HUME,Hume
2018,December,1 North West Metro, Maribyrnong,"6,937","7,811.2", MARIBYRNONG,Maribyrnong
2018,December,1 North West Metro, Melbourne,"26,922","16,469.9", MELBOURNE,Melbourne
2018,December,1 North West Metro, Melton,"8,048","5,131.0", MELTON,Melton
2018,December,1 North West Metro, Merri-bek,"11,611","6,539.2", MERRI-BEK,Merri-bek
2018,December,1 North West Metro, Moonee Valley,"6,682","5,328.7", MOONEE VALLEY,Moonee Valley
2018,December,1 North West Metro, Nillumbik,"1,644","2,549.1", NILLUMBIK,Nillumbik
2018,December,1 North West Metro, Whittlesea,"11,777","5,343.1", WHITTLESEA,Whittlesea
2018,December,1 North West Metro, Wyndham,"11,291","4,397.5", WYNDHAM,Wyndham
2018,December,1 North West Metro, Yarra,"11,313","11,853.5", YARRA,Yarra
2018,December,1 North West Metro,Total,"149,922","6,931.2",TOTAL,Total
2018,December,2 Eastern, Alpine,393,"3,068.6", ALPINE,Alpine
2018,December,2 Eastern, Bass Coast,"1,660","4,605.9", BASS COAST,Bass Coast
2018,December,2 Eastern, Baw Baw,"3,165","6,041.0", BAW BAW,Baw Baw
2018,December,2 Eastern, Benalla,874,"6,178.9", BENALLA,Benalla
2018,December,2 Eastern, Boroondara,"5,603","3,125.0", BOROONDARA,Boroondara
2018,December,2 Eastern, East Gippsland,"3,170","6,768.4", EAST GIPPSLAND,East Gippsland
2018,December,2 Eastern, Greater Shepparton,"6,196","9,278.9", GREATER SHEPPARTON,Greater Shepparton
2018,December,2 Eastern, Indigo,342,"2,060.5", INDIGO,Indigo
2018,December,2 Eastern, Knox,"8,072","4,972.3", KNOX,Knox
2018,December,2 Eastern, Latrobe,"9,907","13,119.6", LATROBE,Latrobe
2018,December,2 Eastern, Manningham,"3,347","2,677.7", MANNINGHAM,Manningham
2018,December,2 Eastern, Mansfield,333,"3,642.5", MANSFIELD,Mansfield
2018,December,2 Eastern, Maroondah,"5,911","5,050.7", MAROONDAH,Maroondah
2018,December,2 Eastern, Mitchell,"2,998","6,735.3", MITCHELL,Mitchell
2018,December,2 Eastern, Moira,"1,566","5,240.8", MOIRA,Moira
2018,December,2 Eastern, Monash,"8,228","4,157.2", MONASH,Monash
2018,December,2 Eastern, Murrindindi,571,"3,924.9", MURRINDINDI,Murrindindi
2018,December,2 Eastern, South Gippsland,"1,022","3,455.4", SOUTH GIPPSLAND,South Gippsland
2018,December,2 Eastern, Strathbogie,440,"4,102.9", STRATHBOGIE,Strathbogie
2018,December,2 Eastern, Towong,178,"2,920.9", TOWONG,Towong
2018,December,2 Eastern, Wangaratta,"1,739","5,947.1", WANGARATTA,Wangaratta
2018,December,2 Eastern, Wellington,"2,824","6,390.4", WELLINGTON,Wellington
2018,December,2 Eastern, Whitehorse,"6,250","3,585.1", WHITEHORSE,Whitehorse
2018,December,2 Eastern, Wodonga,"2,384","5,744.7", WODONGA,Wodonga
2018,December,2 Eastern, Yarra Ranges,"5,541","3,513.7", YARRA RANGES,Yarra Ranges
2018,December,2 Eastern,Total,"82,714","4,882.4",TOTAL,Total
2018,December,3 Southern Metro, Bayside,"3,697","3,536.3", BAYSIDE,Bayside
2018,December,3 Southern Metro, Cardinia,"4,569","4,276.5", CARDINIA,Cardinia
2018,December,3 Southern Metro, Casey,"15,892","4,704.8", CASEY,Casey
2018,December,3 Southern Metro, Frankston,"11,296","7,987.8", FRANKSTON,Frankston
2018,December,3 Southern Metro, Glen Eira,"4,975","3,266.8", GLEN EIRA,Glen Eira
2018,December,3 Southern Metro, Greater Dandenong,"14,075","8,540.7", GREATER DANDENONG,Greater Dandenong
2018,December,3 Southern Metro, Kingston,"8,532","5,280.9", KINGSTON,Kingston
2018,December,3 Southern Metro, Mornington Peninsula,"8,137","4,889.6", MORNINGTON PENINSULA,Mornington Peninsula
2018,December,3 Southern Metro, Port Phillip,"9,926","8,968.5", PORT PHILLIP,Port Phillip
2018,December,3 Southern Metro, Stonnington,"8,334","7,356.5", STONNINGTON,Stonnington
2018,December,3 Southern Metro,Total,"89,433","5,734.3",TOTAL,Total
2018,December,4 Western, Ararat,901,"7,640.8", ARARAT,Ararat
2018,December,4 Western, Ballarat,"8,055","7,491.8", BALLARAT,Ballarat
2018,December,4 Western, Buloke,182,"2,931.7", BULOKE,Buloke
2018,December,4 Western, Campaspe,"2,841","7,493.5", CAMPASPE,Campaspe
2018,December,4 Western, Central Goldfields,970,"7,283.9", CENTRAL GOLDFIELDS,Central Goldfields
2018,December,4 Western, Colac-Otway,"1,269","5,820.0", COLAC-OTWAY,Colac-Otway
2018,December,4 Western, Corangamite,539,"3,323.5", CORANGAMITE,Corangamite
2018,December,4 Western, Gannawarra,519,"4,899.9", GANNAWARRA,Gannawarra
2018,December,4 Western, Glenelg,"1,030","5,181.9", GLENELG,Glenelg
2018,December,4 Western, Golden Plains,509,"2,197.1", GOLDEN PLAINS,Golden Plains
2018,December,4 Western, Greater Bendigo,"7,733","6,662.1", GREATER BENDIGO,Greater Bendigo
2018,December,4 Western, Greater Geelong,"16,009","6,329.7", GREATER GEELONG,Greater Geelong
2018,December,4 Western, Hepburn,602,"3,789.7", HEPBURN,Hepburn
2018,December,4 Western, Hindmarsh,254,"4,467.1", HINDMARSH,Hindmarsh
2018,December,4 Western, Horsham,"1,575","7,857.3", HORSHAM,Horsham
2018,December,4 Western, Loddon,390,"5,135.0", LODDON,Loddon
2018,December,4 Western, Macedon Ranges,"1,660","3,370.3", MACEDON RANGES,Macedon Ranges
2018,December,4 Western, Mildura,"5,545","9,882.2", MILDURA,Mildura
2018,December,4 Western, Moorabool,"1,764","5,093.8", MOORABOOL,Moorabool
2018,December,4 Western, Mount Alexander,691,"3,547.0", MOUNT ALEXANDER,Mount Alexander
2018,December,4 Western, Moyne,428,"2,535.2", MOYNE,Moyne
2018,December,4 Western, Northern Grampians,764,"6,572.6", NORTHERN GRAMPIANS,Northern Grampians
2018,December,4 Western, Pyrenees,340,"4,644.8", PYRENEES,Pyrenees
2018,December,4 Western, Queenscliffe,101,"3,422.6", QUEENSCLIFFE,Queenscliffe
2018,December,4 Western, Southern Grampians,"1,111","6,826.0", SOUTHERN GRAMPIANS,Southern Grampians
2018,December,4 Western, Surf Coast,878,"2,683.8", SURF COAST,Surf Coast
2018,December,4 Western, Swan Hill,"1,781","8,391.4", SWAN HILL,Swan Hill
2018,December,4 Western, Warrnambool,"2,907","8,355.6", WARRNAMBOOL,Warrnambool
2018,December,4 Western, West Wimmera,128,"3,230.7", WEST WIMMERA,West Wimmera
2018,December,4 Western, Yarriambiack,335,"5,005.2", YARRIAMBIACK,Yarriambiack
2018,December,4 Western,Total,"61,811","6,177.9",TOTAL,Total
2018,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,496",, JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,Justice Institutions and Immigration Facilities
2018,December,Justice Institutions and Immigration Facilities,Total,"1,496",,TOTAL,Total
2018,December,Unincorporated Vic, Unincorporated Vic,95,, UNINCORPORATED VIC,Unincorporated Vic
2018,December,Unincorporated Vic,Total,95,,TOTAL,Total
2017,December,1 North West Metro, Banyule,"7,433","5,779.9", BANYULE,Banyule
2017,December,1 North West Metro, Brimbank,"13,245","6,428.5", BRIMBANK,Brimbank
2017,December,1 North West Metro, Darebin,"11,444","7,314.2", DAREBIN,Darebin
2017,December,1 North West Metro, Hobsons Bay,"4,908","5,193.5", HOBSONS BAY,Hobsons Bay
2017,December,1 North West Metro, Hume,"15,048","6,962.3", HUME,Hume
2017,December,1 North West Metro, Maribyrnong,"6,465","7,339.7", MARIBYRNONG,Maribyrnong
2017,December,1 North West Metro, Melbourne,"26,537","17,010.9", MELBOURNE,Melbourne
2017,December,1 North West Metro, Melton,"8,047","5,414.5", MELTON,Melton
2017,December,1 North West Metro, Merri-bek,"10,518","6,008.9", MERRI-BEK,Merri-bek
2017,December,1 North West Metro, Moonee Valley,"6,668","5,365.9", MOONEE VALLEY,Moonee Valley
2017,December,1 North West Metro, Nillumbik,"1,845","2,865.5", NILLUMBIK,Nillumbik
2017,December,1 North West Metro, Whittlesea,"11,342","5,292.0", WHITTLESEA,Whittlesea
2017,December,1 North West Metro, Wyndham,"10,854","4,495.6", WYNDHAM,Wyndham
2017,December,1 North West Metro, Yarra,"10,561","11,179.8", YARRA,Yarra
2017,December,1 North West Metro,Total,"144,915","6,873.4",TOTAL,Total
2017,December,2 Eastern, Alpine,310,"2,445.0", ALPINE,Alpine
2017,December,2 Eastern, Bass Coast,"1,936","5,575.1", BASS COAST,Bass Coast
2017,December,2 Eastern, Baw Baw,"2,766","5,439.3", BAW BAW,Baw Baw
2017,December,2 Eastern, Benalla,975,"6,943.9", BENALLA,Benalla
2017,December,2 Eastern, Boroondara,"5,741","3,214.6", BOROONDARA,Boroondara
2017,December,2 Eastern, East Gippsland,"2,971","6,431.8", EAST GIPPSLAND,East Gippsland
2017,December,2 Eastern, Greater Shepparton,"5,939","9,009.0", GREATER SHEPPARTON,Greater Shepparton
2017,December,2 Eastern, Indigo,377,"2,301.2", INDIGO,Indigo
2017,December,2 Eastern, Knox,"8,431","5,222.0", KNOX,Knox
2017,December,2 Eastern, Latrobe,"9,282","12,368.1", LATROBE,Latrobe
2017,December,2 Eastern, Manningham,"3,699","2,981.4", MANNINGHAM,Manningham
2017,December,2 Eastern, Mansfield,494,"5,556.2", MANSFIELD,Mansfield
2017,December,2 Eastern, Maroondah,"6,300","5,423.0", MAROONDAH,Maroondah
2017,December,2 Eastern, Mitchell,"3,059","7,110.5", MITCHELL,Mitchell
2017,December,2 Eastern, Moira,"1,449","4,879.0", MOIRA,Moira
2017,December,2 Eastern, Monash,"8,175","4,179.2", MONASH,Monash
2017,December,2 Eastern, Murrindindi,546,"3,823.0", MURRINDINDI,Murrindindi
2017,December,2 Eastern, South Gippsland,"1,004","3,421.2", SOUTH GIPPSLAND,South Gippsland
2017,December,2 Eastern, Strathbogie,438,"4,160.7", STRATHBOGIE,Strathbogie
2017,December,2 Eastern, Towong,174,"2,871.3", TOWONG,Towong
2017,December,2 Eastern, Wangaratta,"1,780","6,151.5", WANGARATTA,Wangaratta
2017,December,2 Eastern, Wellington,"2,722","6,207.7", WELLINGTON,Wellington
2017,December,2 Eastern, Whitehorse,"6,512","3,779.1", WHITEHORSE,Whitehorse
2017,December,2 Eastern, Wodonga,"2,423","5,936.8", WODONGA,Wodonga
2017,December,2 Eastern, Yarra Ranges,"5,719","3,651.5", YARRA RANGES,Yarra Ranges
2017,December,2 Eastern,Total,"83,222","4,965.2",TOTAL,Total
2017,December,3 Southern Metro, Bayside,"3,830","3,696.2", BAYSIDE,Bayside
2017,December,3 Southern Metro, Cardinia,"4,350","4,256.2", CARDINIA,Cardinia
2017,December,3 Southern Metro, Casey,"15,064","4,638.3", CASEY,Casey
2017,December,3 Southern Metro, Frankston,"10,701","7,614.5", FRANKSTON,Frankston
2017,December,3 Southern Metro, Glen Eira,"5,349","3,550.7", GLEN EIRA,Glen Eira
2017,December,3 Southern Metro, Greater Dandenong,"13,665","8,390.4", GREATER DANDENONG,Greater Dandenong
2017,December,3 Southern Metro, Kingston,"7,696","4,807.9", KINGSTON,Kingston
2017,December,3 Southern Metro, Mornington Peninsula,"8,463","5,157.1", MORNINGTON PENINSULA,Mornington Peninsula
2017,December,3 Southern Metro, Port Phillip,"9,669","8,831.1", PORT PHILLIP,Port Phillip
2017,December,3 Southern Metro, Stonnington,"7,894","7,041.8", STONNINGTON,Stonnington
2017,December,3 Southern Metro,Total,"86,681","5,663.9",TOTAL,Total
2017,December,4 Western, Ararat,913,"7,743.9", ARARAT,Ararat
2017,December,4 Western, Ballarat,"8,956","8,489.3", BALLARAT,Ballarat
2017,December,4 Western, Buloke,158,"2,541.0", BULOKE,Buloke
2017,December,4 Western, Campaspe,"2,504","6,627.8", CAMPASPE,Campaspe
2017,December,4 Western, Central Goldfields,859,"6,511.0", CENTRAL GOLDFIELDS,Central Goldfields
2017,December,4 Western, Colac-Otway,"1,380","6,393.3", COLAC-OTWAY,Colac-Otway
2017,December,4 Western, Corangamite,708,"4,351.0", CORANGAMITE,Corangamite
2017,December,4 Western, Gannawarra,444,"4,189.9", GANNAWARRA,Gannawarra
2017,December,4 Western, Glenelg,"1,243","6,280.0", GLENELG,Glenelg
2017,December,4 Western, Golden Plains,499,"2,208.0", GOLDEN PLAINS,Golden Plains
2017,December,4 Western, Greater Bendigo,"7,200","6,304.6", GREATER BENDIGO,Greater Bendigo
2017,December,4 Western, Greater Geelong,"17,115","6,950.5", GREATER GEELONG,Greater Geelong
2017,December,4 Western, Hepburn,660,"4,204.4", HEPBURN,Hepburn
2017,December,4 Western, Hindmarsh,278,"4,855.9", HINDMARSH,Hindmarsh
2017,December,4 Western, Horsham,"1,575","7,888.0", HORSHAM,Horsham
2017,December,4 Western, Loddon,295,"3,899.5", LODDON,Loddon
2017,December,4 Western, Macedon Ranges,"1,598","3,302.5", MACEDON RANGES,Macedon Ranges
2017,December,4 Western, Mildura,"4,804","8,669.9", MILDURA,Mildura
2017,December,4 Western, Moorabool,"1,737","5,158.7", MOORABOOL,Moorabool
2017,December,4 Western, Mount Alexander,767,"3,976.8", MOUNT ALEXANDER,Mount Alexander
2017,December,4 Western, Moyne,465,"2,772.6", MOYNE,Moyne
2017,December,4 Western, Northern Grampians,842,"7,267.4", NORTHERN GRAMPIANS,Northern Grampians
2017,December,4 Western, Pyrenees,357,"4,877.0", PYRENEES,Pyrenees
2017,December,4 Western, Queenscliffe,126,"4,313.6", QUEENSCLIFFE,Queenscliffe
2017,December,4 Western, Southern Grampians,984,"6,074.4", SOUTHERN GRAMPIANS,Southern Grampians
2017,December,4 Western, Surf Coast,996,"3,158.4", SURF COAST,Surf Coast
2017,December,4 Western, Swan Hill,"1,773","8,419.2", SWAN HILL,Swan Hill
2017,December,4 Western, Warrnambool,"2,650","7,680.9", WARRNAMBOOL,Warrnambool
2017,December,4 Western, West Wimmera,126,"3,189.1", WEST WIMMERA,West Wimmera
2017,December,4 Western, Yarriambiack,355,"5,294.6", YARRIAMBIACK,Yarriambiack
2017,December,4 Western,Total,"62,367","6,337.9",TOTAL,Total
2017,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,475",, JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,Justice Institutions and Immigration Facilities
2017,December,Justice Institutions and Immigration Facilities,Total,"1,475",,TOTAL,Total
2017,December,Unincorporated Vic, Unincorporated Vic,119,, UNINCORPORATED VIC,Unincorporated Vic
2017,December,Unincorporated Vic,Total,119,,TOTAL,Total
2016,December,1 North West Metro, Banyule,"7,482","5,870.7", BANYULE,Banyule
2016,December,1 North West Metro, Brimbank,"15,095","7,392.6", BRIMBANK,Brimbank
2016,December,1 North West Metro, Darebin,"13,227","8,526.6", DAREBIN,Darebin
2016,December,1 North West Metro, Hobsons Bay,"5,336","5,710.3", HOBSONS BAY,Hobsons Bay
2016,December,1 North West Metro, Hume,"17,661","8,530.2", HUME,Hume
2016,December,1 North West Metro, Maribyrnong,"7,190","8,269.9", MARIBYRNONG,Maribyrnong
2016,December,1 North West Metro, Melbourne,"28,281","19,357.8", MELBOURNE,Melbourne
2016,December,1 North West Metro, Melton,"9,066","6,410.7", MELTON,Melton
2016,December,1 North West Metro, Merri-bek,"12,120","7,034.5", MERRI-BEK,Merri-bek
2016,December,1 North West Metro, Moonee Valley,"7,741","6,300.1", MOONEE VALLEY,Moonee Valley
2016,December,1 North West Metro, Nillumbik,"2,264","3,527.9", NILLUMBIK,Nillumbik
2016,December,1 North West Metro, Whittlesea,"13,076","6,315.1", WHITTLESEA,Whittlesea
2016,December,1 North West Metro, Wyndham,"12,370","5,449.1", WYNDHAM,Wyndham
2016,December,1 North West Metro, Yarra,"11,291","12,154.7", YARRA,Yarra
2016,December,1 North West Metro,Total,"162,200","7,919.9",TOTAL,Total
2016,December,2 Eastern, Alpine,267,"2,122.8", ALPINE,Alpine
2016,December,2 Eastern, Bass Coast,"2,070","6,185.8", BASS COAST,Bass Coast
2016,December,2 Eastern, Baw Baw,"2,921","5,925.4", BAW BAW,Baw Baw
2016,December,2 Eastern, Benalla,"1,019","7,287.9", BENALLA,Benalla
2016,December,2 Eastern, Boroondara,"7,061","3,983.1", BOROONDARA,Boroondara
2016,December,2 Eastern, East Gippsland,"3,096","6,789.5", EAST GIPPSLAND,East Gippsland
2016,December,2 Eastern, Greater Shepparton,"6,329","9,726.1", GREATER SHEPPARTON,Greater Shepparton
2016,December,2 Eastern, Indigo,319,"1,973.4", INDIGO,Indigo
2016,December,2 Eastern, Knox,"9,162","5,713.6", KNOX,Knox
2016,December,2 Eastern, Latrobe,"10,449","14,002.6", LATROBE,Latrobe
2016,December,2 Eastern, Manningham,"3,961","3,231.6", MANNINGHAM,Manningham
2016,December,2 Eastern, Mansfield,481,"5,545.3", MANSFIELD,Mansfield
2016,December,2 Eastern, Maroondah,"6,771","5,898.1", MAROONDAH,Maroondah
2016,December,2 Eastern, Mitchell,"3,228","7,723.4", MITCHELL,Mitchell
2016,December,2 Eastern, Moira,"1,368","4,639.5", MOIRA,Moira
2016,December,2 Eastern, Monash,"8,962","4,652.6", MONASH,Monash
2016,December,2 Eastern, Murrindindi,546,"3,885.6", MURRINDINDI,Murrindindi
2016,December,2 Eastern, South Gippsland,"1,139","3,911.1", SOUTH GIPPSLAND,South Gippsland
2016,December,2 Eastern, Strathbogie,479,"4,624.9", STRATHBOGIE,Strathbogie
2016,December,2 Eastern, Towong,176,"2,911.0", TOWONG,Towong
2016,December,2 Eastern, Wangaratta,"1,811","6,333.9", WANGARATTA,Wangaratta
2016,December,2 Eastern, Wellington,"3,318","7,622.3", WELLINGTON,Wellington
2016,December,2 Eastern, Whitehorse,"6,354","3,745.6", WHITEHORSE,Whitehorse
2016,December,2 Eastern, Wodonga,"2,496","6,224.4", WODONGA,Wodonga
2016,December,2 Eastern, Yarra Ranges,"6,453","4,157.2", YARRA RANGES,Yarra Ranges
2016,December,2 Eastern,Total,"90,236","5,452.2",TOTAL,Total
2016,December,3 Southern Metro, Bayside,"4,207","4,088.0", BAYSIDE,Bayside
2016,December,3 Southern Metro, Cardinia,"5,381","5,514.8", CARDINIA,Cardinia
2016,December,3 Southern Metro, Casey,"18,198","5,818.0", CASEY,Casey
2016,December,3 Southern Metro, Frankston,"12,484","8,949.0", FRANKSTON,Frankston
2016,December,3 Southern Metro, Glen Eira,"5,675","3,819.4", GLEN EIRA,Glen Eira
2016,December,3 Southern Metro, Greater Dandenong,"15,473","9,657.2", GREATER DANDENONG,Greater Dandenong
2016,December,3 Southern Metro, Kingston,"8,656","5,446.0", KINGSTON,Kingston
2016,December,3 Southern Metro, Mornington Peninsula,"9,116","5,643.6", MORNINGTON PENINSULA,Mornington Peninsula
2016,December,3 Southern Metro, Port Phillip,"10,459","9,628.4", PORT PHILLIP,Port Phillip
2016,December,3 Southern Metro, Stonnington,"9,175","8,265.5", STONNINGTON,Stonnington
2016,December,3 Southern Metro,Total,"98,824","6,580.9",TOTAL,Total
2016,December,4 Western, Ararat,867,"7,381.9", ARARAT,Ararat
2016,December,4 Western, Ballarat,"9,475","9,154.6", BALLARAT,Ballarat
2016,December,4 Western, Buloke,169,"2,689.4", BULOKE,Buloke
2016,December,4 Western, Campaspe,"2,815","7,487.7", CAMPASPE,Campaspe
2016,December,4 Western, Central Goldfields,"1,012","7,732.9", CENTRAL GOLDFIELDS,Central Goldfields
2016,December,4 Western, Colac-Otway,"1,445","6,764.3", COLAC-OTWAY,Colac-Otway
2016,December,4 Western, Corangamite,733,"4,512.7", CORANGAMITE,Corangamite
2016,December,4 Western, Gannawarra,491,"4,646.5", GANNAWARRA,Gannawarra
2016,December,4 Western, Glenelg,"1,374","6,953.8", GLENELG,Glenelg
2016,December,4 Western, Golden Plains,646,"2,934.2", GOLDEN PLAINS,Golden Plains
2016,December,4 Western, Greater Bendigo,"7,933","7,066.2", GREATER BENDIGO,Greater Bendigo
2016,December,4 Western, Greater Geelong,"18,627","7,776.5", GREATER GEELONG,Greater Geelong
2016,December,4 Western, Hepburn,729,"4,695.7", HEPBURN,Hepburn
2016,December,4 Western, Hindmarsh,235,"4,062.9", HINDMARSH,Hindmarsh
2016,December,4 Western, Horsham,"1,880","9,454.8", HORSHAM,Horsham
2016,December,4 Western, Loddon,382,"5,054.2", LODDON,Loddon
2016,December,4 Western, Macedon Ranges,"1,646","3,466.7", MACEDON RANGES,Macedon Ranges
2016,December,4 Western, Mildura,"5,091","9,314.3", MILDURA,Mildura
2016,December,4 Western, Moorabool,"2,005","6,136.8", MOORABOOL,Moorabool
2016,December,4 Western, Mount Alexander,951,"4,979.8", MOUNT ALEXANDER,Mount Alexander
2016,December,4 Western, Moyne,491,"2,933.6", MOYNE,Moyne
2016,December,4 Western, Northern Grampians,936,"8,089.9", NORTHERN GRAMPIANS,Northern Grampians
2016,December,4 Western, Pyrenees,391,"5,344.5", PYRENEES,Pyrenees
2016,December,4 Western, Queenscliffe,124,"4,233.5", QUEENSCLIFFE,Queenscliffe
2016,December,4 Western, Southern Grampians,987,"6,121.7", SOUTHERN GRAMPIANS,Southern Grampians
2016,December,4 Western, Surf Coast,"1,093","3,587.7", SURF COAST,Surf Coast
2016,December,4 Western, Swan Hill,"1,735","8,303.0", SWAN HILL,Swan Hill
2016,December,4 Western, Warrnambool,"2,492","7,277.6", WARRNAMBOOL,Warrnambool
2016,December,4 Western, West Wimmera,108,"2,743.2", WEST WIMMERA,West Wimmera
2016,December,4 Western, Yarriambiack,330,"4,894.0", YARRIAMBIACK,Yarriambiack
2016,December,4 Western,Total,"67,193","6,944.5",TOTAL,Total
2016,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,014",, JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,Justice Institutions and Immigration Facilities
2016,December,Justice Institutions and Immigration Facilities,Total,"1,014",,TOTAL,Total
2016,December,Unincorporated Vic, Unincorporated Vic,121,, UNINCORPORATED VIC,Unincorporated Vic
2016,December,Unincorporated Vic,Total,121,,TOTAL,Total
2015,December,1 North West Metro, Banyule,"6,857","5,438.3", BANYULE,Banyule
2015,December,1 North West Metro, Brimbank,"14,819","7,377.8", BRIMBANK,Brimbank
2015,December,1 North West Metro, Darebin,"11,473","7,549.3", DAREBIN,Darebin
2015,December,1 North West Metro, Hobsons Bay,"5,359","5,845.7", HOBSONS BAY,Hobsons Bay
2015,December,1 North West Metro, Hume,"14,879","7,508.0", HUME,Hume
2015,December,1 North West Metro, Maribyrnong,"6,908","8,147.9", MARIBYRNONG,Maribyrnong
2015,December,1 North West Metro, Melbourne,"24,868","18,168.8", MELBOURNE,Melbourne
2015,December,1 North West Metro, Melton,"8,375","6,207.6", MELTON,Melton
2015,December,1 North West Metro, Merri-bek,"11,165","6,651.0", MERRI-BEK,Merri-bek
2015,December,1 North West Metro, Moonee Valley,"6,957","5,786.4", MOONEE VALLEY,Moonee Valley
2015,December,1 North West Metro, Nillumbik,"1,941","3,048.3", NILLUMBIK,Nillumbik
2015,December,1 North West Metro, Whittlesea,"10,377","5,271.6", WHITTLESEA,Whittlesea
2015,December,1 North West Metro, Wyndham,"11,322","5,295.2", WYNDHAM,Wyndham
2015,December,1 North West Metro, Yarra,"10,051","11,177.3", YARRA,Yarra
2015,December,1 North West Metro,Total,"145,351","7,349.5",TOTAL,Total
2015,December,2 Eastern, Alpine,357,"2,872.3", ALPINE,Alpine
2015,December,2 Eastern, Bass Coast,"1,929","5,921.5", BASS COAST,Bass Coast
2015,December,2 Eastern, Baw Baw,"2,490","5,205.2", BAW BAW,Baw Baw
2015,December,2 Eastern, Benalla,810,"5,817.7", BENALLA,Benalla
2015,December,2 Eastern, Boroondara,"5,897","3,374.5", BOROONDARA,Boroondara
2015,December,2 Eastern, East Gippsland,"3,147","7,013.9", EAST GIPPSLAND,East Gippsland
2015,December,2 Eastern, Greater Shepparton,"5,498","8,525.5", GREATER SHEPPARTON,Greater Shepparton
2015,December,2 Eastern, Indigo,380,"2,386.6", INDIGO,Indigo
2015,December,2 Eastern, Knox,"7,352","4,632.6", KNOX,Knox
2015,December,2 Eastern, Latrobe,"9,017","12,141.5", LATROBE,Latrobe
2015,December,2 Eastern, Manningham,"3,354","2,776.8", MANNINGHAM,Manningham
