Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population",LGA,LGATRIM
2022,December,4 Western, Greater Geelong,"14,419","5,208.4", GREATER GEELONG,Greater Geelong
2022,December,4 Western, Hepburn,482,"2,897.8", HEPBURN,Hepburn
2022,December,4 Western, Hindmarsh,199,"3,528.2", HINDMARSH,Hindmarsh
2022,December,4 Western, Horsham,"1,600","7,850.2", HORSHAM,Horsham
2022,December,4 Western, Loddon,340,"4,406.9", LODDON,Loddon
2022,December,4 Western, Macedon Ranges,"1,471","2,809.0", MACEDON RANGES,Macedon Ranges
2022,December,4 Western, Mildura,"5,251","9,209.1", MILDURA,Mildura
2022,December,4 Western, Moorabool,"1,443","3,718.7", MOORABOOL,Moorabool
2022,December,4 Western, Mount Alexander,670,"3,296.4", MOUNT ALEXANDER,Mount Alexander
2022,December,4 Western, Moyne,458,"2,627.9", MOYNE,Moyne
2022,December,4 Western, Northern Grampians,760,"6,384.2", NORTHERN GRAMPIANS,Northern Grampians
2022,December,4 Western, Pyrenees,262,"3,415.5", PYRENEES,Pyrenees
2022,December,4 Western, Queenscliffe,90,"2,702.3", QUEENSCLIFFE,Queenscliffe
2022,December,4 Western, Southern Grampians,776,"4,719.4", SOUTHERN GRAMPIANS,Southern Grampians
2022,December,4 Western, Surf Coast,838,"2,137.0", SURF COAST,Surf Coast
2022,December,4 Western, Swan Hill,"1,489","7,005.8", SWAN HILL,Swan Hill
2022,December,4 Western, Warrnambool,"2,018","5,657.0", WARRNAMBOOL,Warrnambool
2022,December,4 Western, West Wimmera,98,"2,489.3", WEST WIMMERA,West Wimmera
2022,December,4 Western, Yarriambiack,304,"4,741.9", YARRIAMBIACK,Yarriambiack
2022,December,4 Western,Total,"56,694","5,337.0",TOTAL,Total
2022,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,999,, JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,Justice Institutions and Immigration Facilities
2022,December,Justice Institutions and Immigration Facilities,Total,999,,TOTAL,Total
2022,December,Unincorporated Vic, Unincorporated Vic,89,, UNINCORPORATED VIC,Unincorporated Vic
2022,December,Unincorporated Vic,Total,89,,TOTAL,Total
2021,December,1 North West Metro, Banyule,"5,409","4,246.5", BANYULE,Banyule
2021,December,1 North West Metro, Brimbank,"12,646","6,428.7", BRIMBANK,Brimbank
2021,December,1 North West Metro, Darebin,"9,543","6,347.8", DAREBIN,Darebin
2021,December,1 North West Metro, Hobsons Bay,"4,554","4,935.2", HOBSONS BAY,Hobsons Bay
2021,December,1 North West Metro, Hume,"12,543","5,081.2", HUME,Hume
2021,December,1 North West Metro, Maribyrnong,"6,997","8,098.6", MARIBYRNONG,Maribyrnong
2021,December,1 North West Metro, Melbourne,"24,631","16,028.1", MELBOURNE,Melbourne
2021,December,1 North West Metro, Melton,"8,950","4,938.7", MELTON,Melton
2021,December,1 North West Metro, Merri-bek,"9,320","5,370.5", MERRI-BEK,Merri-bek
2021,December,1 North West Metro, Moonee Valley,"6,065","4,932.3", MOONEE VALLEY,Moonee Valley
2021,December,1 North West Metro, Nillumbik,"1,372","2,162.2", NILLUMBIK,Nillumbik
2021,December,1 North West Metro, Whittlesea,"9,350","4,033.7", WHITTLESEA,Whittlesea
2021,December,1 North West Metro, Wyndham,"12,120","4,091.9", WYNDHAM,Wyndham
2021,December,1 North West Metro, Yarra,"9,257","10,112.2", YARRA,Yarra
2021,December,1 North West Metro,Total,"132,757","5,995.3",TOTAL,Total
2021,December,2 Eastern, Alpine,386,"2,934.0", ALPINE,Alpine
2021,December,2 Eastern, Bass Coast,"2,142","5,270.5", BASS COAST,Bass Coast
2021,December,2 Eastern, Baw Baw,"3,096","5,376.9", BAW BAW,Baw Baw
2021,December,2 Eastern, Benalla,995,"6,894.9", BENALLA,Benalla
