LGA,Region,Section of State,Year,Portion Bullied,"Rate per 100,000 population"
WARRNAMBOOL,Great South Coast,Regional Victoria,2008,"7,850.2","7,850.2"
WELLINGTON,Gippsland,Regional Victoria,2008,"4,406.9","4,406.9"
WEST WIMMERA,Wimmera Southern Mallee,Regional Victoria,2008,"2,809.0","2,809.0"
WHITEHORSE,Melbourne,Metropolitan Melbourne,2008,"9,209.1","9,209.1"
WHITTLESEA,Melbourne,Metropolitan Melbourne,2008,"3,718.7","3,718.7"
WYNDHAM,Melbourne,Metropolitan Melbourne,2008,"3,296.4","3,296.4"
YARRA,Melbourne,Metropolitan Melbourne,2008,"2,627.9","2,627.9"
YARRA RANGES,Melbourne,Metropolitan Melbourne,2008,"6,384.2","6,384.2"
YARRIAMBIACK,Wimmera Southern Mallee,Regional Victoria,2008,"3,415.5","3,415.5"
ALPINE,Hume,Regional Victoria,2009,"2,702.3","2,702.3"
ARARAT,Central Highlands,Regional Victoria,2009,"4,719.4","4,719.4"
BALLARAT,Central Highlands,Regional Victoria,2009,"2,137.0","2,137.0"
BANYULE,Melbourne,Metropolitan Melbourne,2009,"7,005.8","7,005.8"
BASS COAST,Gippsland,Regional Victoria,2009,"5,657.0","5,657.0"
BAW BAW,Gippsland,Regional Victoria,2009,"2,489.3","2,489.3"
BAYSIDE,Melbourne,Metropolitan Melbourne,2009,"4,741.9","4,741.9"
BENALLA,Hume,Regional Victoria,2009,"5,337.0","5,337.0"
BOROONDARA,Melbourne,Metropolitan Melbourne,2009,17.6,
BRIMBANK,Melbourne,Metropolitan Melbourne,2009,22.3,
BULOKE,Loddon Mallee North,Regional Victoria,2009,20.4,
CAMPASPE,Loddon Mallee North,Regional Victoria,2009,27.4,
CARDINIA,Melbourne,Metropolitan Melbourne,2009,27.3,"4,246.5"
CASEY,Melbourne,Metropolitan Melbourne,2009,23.6,"6,428.7"
CENTRAL GOLDFIELDS,Loddon Mallee South,Regional Victoria,2009,30.4,"6,347.8"
COLAC OTWAY,G21,Regional Victoria,2009,33.4,"4,935.2"
CORANGAMITE,Great South Coast,Regional Victoria,2009,12.2,"5,081.2"
DAREBIN,Melbourne,Metropolitan Melbourne,2009,18.2,"8,098.6"
EAST GIPPSLAND,Gippsland,Regional Victoria,2009,32.7,"16,028.1"
FRANKSTON,Melbourne,Metropolitan Melbourne,2009,26.2,"4,938.7"
GANNAWARRA,Loddon Mallee North,Regional Victoria,2009,24.7,"5,370.5"
GLEN EIRA,Melbourne,Metropolitan Melbourne,2009,18.5,"4,932.3"
GLENELG,Great South Coast,Regional Victoria,2009,31.6,"2,162.2"
GREATER BENDIGO,Loddon Mallee South,Regional Victoria,2009,26.8,"4,033.7"
GREATER DANDENONG,Melbourne,Metropolitan Melbourne,2009,24.9,"4,091.9"
GREATER GEELONG,G21,Regional Victoria,2009,28,"10,112.2"
GREATER SHEPPARTON,Hume,Regional Victoria,2009,26.1,"5,995.3"
HEPBURN,Central Highlands,Regional Victoria,2009,28.6,"2,934.0"
HINDMARSH,Wimmera Southern Mallee,Regional Victoria,2009,23.8,"5,270.5"
HOBSONS BAY,Melbourne,Metropolitan Melbourne,2009,19.8,"5,376.9"
HORSHAM,Wimmera Southern Mallee,Regional Victoria,2009,32.7,"6,894.9"
HUME,Melbourne,Metropolitan Melbourne,2009,25.5,"3,256.0"
INDIGO,Hume,Regional Victoria,2009,20.7,"7,409.2"
KINGSTON,Melbourne,Metropolitan Melbourne,2009,21.4,"8,608.9"
KNOX,Melbourne,Metropolitan Melbourne,2009,26.8,"2,348.0"
LATROBE,Gippsland,Regional Victoria,2009,34.8,"4,396.1"
LODDON,Loddon Mallee South,Regional Victoria,2009,18.3,"10,362.5"
MACEDON RANGES,Loddon Mallee South,Regional Victoria,2009,28,"2,376.3"
MANNINGHAM,Melbourne,Metropolitan Melbourne,2009,21.8,"3,609.6"
MANSFIELD,Hume,Regional Victoria,2009,22.7,"4,571.8"
MARIBYRNONG,Melbourne,Metropolitan Melbourne,2009,24.7,"4,993.6"
MAROONDAH,Melbourne,Metropolitan Melbourne,2009,22.8,"5,518.8"
MELBOURNE,Melbourne,Metropolitan Melbourne,2009,12.1,"4,423.2"
MILDURA,Loddon Mallee North,Regional Victoria,2009,25.8,"3,680.5"
MITCHELL,Hume,Regional Victoria,2009,28.5,"3,897.6"
MOIRA,Hume,Regional Victoria,2009,23,"4,074.3"
MONASH,Melbourne,Metropolitan Melbourne,2009,22,"2,603.9"
MOONEE VALLEY,Melbourne,Metropolitan Melbourne,2009,22.5,"5,635.5"
MOORABOOL,Central Highlands,Regional Victoria,2009,33.5,"6,466.2"
MORELAND,Melbourne,Metropolitan Melbourne,2009,23.9,"3,321.3"
MORNINGTON PENINSULA,Melbourne,Metropolitan Melbourne,2009,28.4,"5,717.5"
MOUNT ALEXANDER,Loddon Mallee South,Regional Victoria,2009,23.7,"3,255.6"
MOYNE,Great South Coast,Regional Victoria,2009,21,"4,622.5"
MURRINDINDI,Hume,Regional Victoria,2009,28.8,"3,261.8"
NILLUMBIK,Melbourne,Metropolitan Melbourne,2009,17.4,"3,981.7"
NORTHERN GRAMPIANS,Wimmera Southern Mallee,Regional Victoria,2009,25.6,"3,855.4"
PORT PHILLIP,Melbourne,Metropolitan Melbourne,2009,12.8,"5,922.9"
PYRENEES,Central Highlands,Regional Victoria,2009,11.5,"3,487.4"
SOUTH GIPPSLAND,Gippsland,Regional Victoria,2009,25,"7,271.0"
SOUTHERN GRAMPIANS,Great South Coast,Regional Victoria,2009,9.5,"4,235.8"
STONNINGTON,Melbourne,Metropolitan Melbourne,2009,12.5,"3,769.6"
STRATHBOGIE,Hume,Regional Victoria,2009,26.7,"9,077.6"
SURF COAST,G21,Regional Victoria,2009,21.5,"7,577.3"
SWAN HILL,Loddon Mallee North,Regional Victoria,2009,29.9,"4,941.7"
TOWONG,Hume,Regional Victoria,2009,17.7,"8,501.8"
WANGARATTA,Hume,Regional Victoria,2009,28,"6,637.2"
WARRNAMBOOL,Great South Coast,Regional Victoria,2009,31.8,"3,164.8"
WELLINGTON,Gippsland,Regional Victoria,2009,28.7,"6,330.3"
WEST WIMMERA,Wimmera Southern Mallee,Regional Victoria,2009,24.2,"5,955.8"
WHITEHORSE,Melbourne,Metropolitan Melbourne,2009,19.2,"5,308.5"
WHITTLESEA,Melbourne,Metropolitan Melbourne,2009,23.7,"3,705.8"
WYNDHAM,Melbourne,Metropolitan Melbourne,2009,25.2,"5,192.2"
YARRA,Melbourne,Metropolitan Melbourne,2009,16.4,"5,983.2"
YARRA RANGES,Melbourne,Metropolitan Melbourne,2009,24.9,"1,768.6"
