LGA,Region,Section of State,Year,Portion Bullied,"Rate per 100,000 population"
MOIRA,Hume,Regional Victoria,2012,18.1,
MONASH,Melbourne,Metropolitan Melbourne,2012,15.4,
MOONEE VALLEY,Melbourne,Metropolitan Melbourne,2012,18.8,
MOORABOOL,Central Highlands,Regional Victoria,2012,25.4,"5,530.8"
MORELAND,Melbourne,Metropolitan Melbourne,2012,19.4,"7,044.8"
MORNINGTON PENINSULA,Melbourne,Metropolitan Melbourne,2012,24.8,"7,391.1"
MOUNT ALEXANDER,Loddon Mallee South,Regional Victoria,2012,16.1,"5,062.1"
MOYNE,Great South Coast,Regional Victoria,2012,13.6,"6,898.0"
MURRINDINDI,Hume,Regional Victoria,2012,14.6,"7,811.2"
NILLUMBIK,Melbourne,Metropolitan Melbourne,2012,18.8,"16,469.9"
NORTHERN GRAMPIANS,Wimmera Southern Mallee,Regional Victoria,2012,26.9,"5,131.0"
PORT PHILLIP,Melbourne,Metropolitan Melbourne,2012,8.6,"6,539.2"
PYRENEES,Central Highlands,Regional Victoria,2012,16.3,"5,328.7"
SOUTH GIPPSLAND,Gippsland,Regional Victoria,2012,19.6,"2,549.1"
SOUTHERN GRAMPIANS,Great South Coast,Regional Victoria,2012,3.7,"5,343.1"
STONNINGTON,Melbourne,Metropolitan Melbourne,2012,12.5,"4,397.5"
STRATHBOGIE,Hume,Regional Victoria,2012,25.3,"11,853.5"
SURF COAST,G21,Regional Victoria,2012,11.9,"6,931.2"
SWAN HILL,Loddon Mallee North,Regional Victoria,2012,23.7,"3,068.6"
TOWONG,Hume,Regional Victoria,2012,14.2,"4,605.9"
WANGARATTA,Hume,Regional Victoria,2012,20.3,"6,041.0"
WARRNAMBOOL,Great South Coast,Regional Victoria,2012,18.1,"6,178.9"
WELLINGTON,Gippsland,Regional Victoria,2012,22.3,"3,125.0"
WEST WIMMERA,Wimmera Southern Mallee,Regional Victoria,2012,14.4,"6,768.4"
WHITEHORSE,Melbourne,Metropolitan Melbourne,2012,16.1,"9,278.9"
WHITTLESEA,Melbourne,Metropolitan Melbourne,2012,19.9,"2,060.5"
WYNDHAM,Melbourne,Metropolitan Melbourne,2012,17.7,"4,972.3"
YARRA,Melbourne,Metropolitan Melbourne,2012,16.3,"13,119.6"
YARRA RANGES,Melbourne,Metropolitan Melbourne,2012,22.1,"2,677.7"
YARRIAMBIACK,Wimmera Southern Mallee,Regional Victoria,2012,14.1,"3,642.5"
ALPINE,Hume,Regional Victoria,2013,23.2,"5,050.7"
ARARAT,Central Highlands,Regional Victoria,2013,30.2,"6,735.3"
BALLARAT,Central Highlands,Regional Victoria,2013,25.6,"5,240.8"
BANYULE,Melbourne,Metropolitan Melbourne,2013,21.8,"4,157.2"
BASS COAST,Gippsland,Regional Victoria,2013,22.1,"3,924.9"
BAW BAW,Gippsland,Regional Victoria,2013,22.6,"3,455.4"
BAYSIDE,Melbourne,Metropolitan Melbourne,2013,18,"4,102.9"
BENALLA,Hume,Regional Victoria,2013,24.3,"2,920.9"
BOROONDARA,Melbourne,Metropolitan Melbourne,2013,14.1,"5,947.1"
BRIMBANK,Melbourne,Metropolitan Melbourne,2013,19.3,"6,390.4"
BULOKE,Loddon Mallee North,Regional Victoria,2013,13,"3,585.1"
CAMPASPE,Loddon Mallee North,Regional Victoria,2013,22.5,"5,744.7"
CARDINIA,Melbourne,Metropolitan Melbourne,2013,25.6,"3,513.7"
CASEY,Melbourne,Metropolitan Melbourne,2013,19.3,"4,882.4"
CENTRAL GOLDFIELDS,Loddon Mallee South,Regional Victoria,2013,33,"3,536.3"
COLAC OTWAY,G21,Regional Victoria,2013,27.6,"4,276.5"
CORANGAMITE,Great South Coast,Regional Victoria,2013,24.8,"4,704.8"
DAREBIN,Melbourne,Metropolitan Melbourne,2013,17.1,"7,987.8"
EAST GIPPSLAND,Gippsland,Regional Victoria,2013,33.7,"3,266.8"
FRANKSTON,Melbourne,Metropolitan Melbourne,2013,20.8,"8,540.7"
GANNAWARRA,Loddon Mallee North,Regional Victoria,2013,24.6,"5,280.9"
GLEN EIRA,Melbourne,Metropolitan Melbourne,2013,11.8,"4,889.6"
GLENELG,Great South Coast,Regional Victoria,2013,18.3,"8,968.5"
GREATER BENDIGO,Loddon Mallee South,Regional Victoria,2013,28.9,"7,356.5"
GREATER DANDENONG,Melbourne,Metropolitan Melbourne,2013,19.1,"5,734.3"
GREATER GEELONG,G21,Regional Victoria,2013,22.1,"7,640.8"
GREATER SHEPPARTON,Hume,Regional Victoria,2013,26.3,"7,491.8"
HEPBURN,Central Highlands,Regional Victoria,2013,19.8,"2,931.7"
HINDMARSH,Wimmera Southern Mallee,Regional Victoria,2013,13.6,"7,493.5"
HOBSONS BAY,Melbourne,Metropolitan Melbourne,2013,14.9,"7,283.9"
HORSHAM,Wimmera Southern Mallee,Regional Victoria,2013,28.4,"5,820.0"
HUME,Melbourne,Metropolitan Melbourne,2013,21.3,"3,323.5"
INDIGO,Hume,Regional Victoria,2013,16.8,"4,899.9"
KINGSTON,Melbourne,Metropolitan Melbourne,2013,15.1,"5,181.9"
KNOX,Melbourne,Metropolitan Melbourne,2013,22.3,"2,197.1"
LATROBE,Gippsland,Regional Victoria,2013,26.8,"6,662.1"
LODDON,Loddon Mallee South,Regional Victoria,2013,23.7,"6,329.7"
MACEDON RANGES,Loddon Mallee South,Regional Victoria,2013,25.9,"3,789.7"
MANNINGHAM,Melbourne,Metropolitan Melbourne,2013,18.3,"4,467.1"
MANSFIELD,Hume,Regional Victoria,2013,22.3,"7,857.3"
MARIBYRNONG,Melbourne,Metropolitan Melbourne,2013,16.5,"5,135.0"
MAROONDAH,Melbourne,Metropolitan Melbourne,2013,19.7,"3,370.3"
MELBOURNE,Melbourne,Metropolitan Melbourne,2013,15.3,"9,882.2"
MILDURA,Loddon Mallee North,Regional Victoria,2013,26.1,"5,093.8"
MITCHELL,Hume,Regional Victoria,2013,32.8,"3,547.0"
MOIRA,Hume,Regional Victoria,2013,22.4,"2,535.2"
MONASH,Melbourne,Metropolitan Melbourne,2013,14.6,"6,572.6"
MOONEE VALLEY,Melbourne,Metropolitan Melbourne,2013,18.2,"4,644.8"
MOORABOOL,Central Highlands,Regional Victoria,2013,31.1,"3,422.6"
MORELAND,Melbourne,Metropolitan Melbourne,2013,22.8,"6,826.0"
MORNINGTON PENINSULA,Melbourne,Metropolitan Melbourne,2013,22.4,"2,683.8"
MOUNT ALEXANDER,Loddon Mallee South,Regional Victoria,2013,22,"8,391.4"
MOYNE,Great South Coast,Regional Victoria,2013,19.2,"8,355.6"
MURRINDINDI,Hume,Regional Victoria,2013,14.8,"3,230.7"
NILLUMBIK,Melbourne,Metropolitan Melbourne,2013,19.5,"5,005.2"
NORTHERN GRAMPIANS,Wimmera Southern Mallee,Regional Victoria,2013,21.8,"6,177.9"
PORT PHILLIP,Melbourne,Metropolitan Melbourne,2013,10.3,
PYRENEES,Central Highlands,Regional Victoria,2013,18.3,
SOUTH GIPPSLAND,Gippsland,Regional Victoria,2013,21.2,
SOUTHERN GRAMPIANS,Great South Coast,Regional Victoria,2013,3.2,
STONNINGTON,Melbourne,Metropolitan Melbourne,2013,9.4,"5,779.9"
STRATHBOGIE,Hume,Regional Victoria,2013,24,"6,428.5"
SURF COAST,G21,Regional Victoria,2013,18.5,"7,314.2"
SWAN HILL,Loddon Mallee North,Regional Victoria,2013,26.1,"5,193.5"
TOWONG,Hume,Regional Victoria,2013,14.3,"6,962.3"
WANGARATTA,Hume,Regional Victoria,2013,27.2,"7,339.7"
WARRNAMBOOL,Great South Coast,Regional Victoria,2013,17.3,"17,010.9"
WELLINGTON,Gippsland,Regional Victoria,2013,23.6,"5,414.5"
WEST WIMMERA,Wimmera Southern Mallee,Regional Victoria,2013,18.3,"6,008.9"
WHITEHORSE,Melbourne,Metropolitan Melbourne,2013,16.3,"5,365.9"
WHITTLESEA,Melbourne,Metropolitan Melbourne,2013,21.7,"2,865.5"
WYNDHAM,Melbourne,Metropolitan Melbourne,2013,18.2,"5,292.0"
YARRA,Melbourne,Metropolitan Melbourne,2013,12.8,"4,495.6"
YARRA RANGES,Melbourne,Metropolitan Melbourne,2013,20.9,"11,179.8"
YARRIAMBIACK,Wimmera Southern Mallee,Regional Victoria,2013,12.3,"6,873.4"
ALPINE,Hume,Regional Victoria,2014,15.6,"2,445.0"
ARARAT,Central Highlands,Regional Victoria,2014,30.1,"5,575.1"
BALLARAT,Central Highlands,Regional Victoria,2014,23.6,"5,439.3"
BANYULE,Melbourne,Metropolitan Melbourne,2014,16.4,"6,943.9"
BASS COAST,Gippsland,Regional Victoria,2014,25.9,"3,214.6"
BAW BAW,Gippsland,Regional Victoria,2014,18,"6,431.8"
BAYSIDE,Melbourne,Metropolitan Melbourne,2014,14.1,"9,009.0"
BENALLA,Hume,Regional Victoria,2014,34.1,"2,301.2"
BOROONDARA,Melbourne,Metropolitan Melbourne,2014,13.7,"5,222.0"
BRIMBANK,Melbourne,Metropolitan Melbourne,2014,16.6,"12,368.1"
BULOKE,Loddon Mallee North,Regional Victoria,2014,11.1,"2,981.4"
CAMPASPE,Loddon Mallee North,Regional Victoria,2014,21,"5,556.2"
CARDINIA,Melbourne,Metropolitan Melbourne,2014,21.7,"5,423.0"
CASEY,Melbourne,Metropolitan Melbourne,2014,18.4,"7,110.5"
CENTRAL GOLDFIELDS,Loddon Mallee South,Regional Victoria,2014,33.7,"4,879.0"
COLAC OTWAY,G21,Regional Victoria,2014,22.2,"4,179.2"
CORANGAMITE,Great South Coast,Regional Victoria,2014,24.8,"3,823.0"
DAREBIN,Melbourne,Metropolitan Melbourne,2014,17.8,"3,421.2"
EAST GIPPSLAND,Gippsland,Regional Victoria,2014,31.2,"4,160.7"
FRANKSTON,Melbourne,Metropolitan Melbourne,2014,18.5,"2,871.3"
GANNAWARRA,Loddon Mallee North,Regional Victoria,2014,17.5,"6,151.5"
GLEN EIRA,Melbourne,Metropolitan Melbourne,2014,12.2,"6,207.7"
GLENELG,Great South Coast,Regional Victoria,2014,21.9,"3,779.1"
GREATER BENDIGO,Loddon Mallee South,Regional Victoria,2014,23.8,"5,936.8"
GREATER DANDENONG,Melbourne,Metropolitan Melbourne,2014,19,"3,651.5"
GREATER GEELONG,G21,Regional Victoria,2014,19.8,"4,965.2"
GREATER SHEPPARTON,Hume,Regional Victoria,2014,26.1,"3,696.2"
HEPBURN,Central Highlands,Regional Victoria,2014,21.7,"4,256.2"
HINDMARSH,Wimmera Southern Mallee,Regional Victoria,2014,14,"4,638.3"
HOBSONS BAY,Melbourne,Metropolitan Melbourne,2014,12.3,"7,614.5"
HORSHAM,Wimmera Southern Mallee,Regional Victoria,2014,23.6,"3,550.7"
HUME,Melbourne,Metropolitan Melbourne,2014,19.5,"8,390.4"
INDIGO,Hume,Regional Victoria,2014,14.2,"4,807.9"
KINGSTON,Melbourne,Metropolitan Melbourne,2014,12.4,"5,157.1"
KNOX,Melbourne,Metropolitan Melbourne,2014,20.8,"8,831.1"
LATROBE,Gippsland,Regional Victoria,2014,24.9,"7,041.8"
LODDON,Loddon Mallee South,Regional Victoria,2014,18,"5,663.9"
MACEDON RANGES,Loddon Mallee South,Regional Victoria,2014,20.7,"7,743.9"
MANNINGHAM,Melbourne,Metropolitan Melbourne,2014,18.5,"8,489.3"
MANSFIELD,Hume,Regional Victoria,2014,27.5,"2,541.0"
MARIBYRNONG,Melbourne,Metropolitan Melbourne,2014,14.9,"6,627.8"
MAROONDAH,Melbourne,Metropolitan Melbourne,2014,17.5,"6,511.0"
MELBOURNE,Melbourne,Metropolitan Melbourne,2014,12.2,"6,393.3"
MILDURA,Loddon Mallee North,Regional Victoria,2014,22.4,"4,351.0"
MITCHELL,Hume,Regional Victoria,2014,24.3,"4,189.9"
MOIRA,Hume,Regional Victoria,2014,18.1,"6,280.0"
MONASH,Melbourne,Metropolitan Melbourne,2014,12.5,"2,208.0"
MOONEE VALLEY,Melbourne,Metropolitan Melbourne,2014,15.2,"6,304.6"
MOORABOOL,Central Highlands,Regional Victoria,2014,33.6,"6,950.5"
MORELAND,Melbourne,Metropolitan Melbourne,2014,19.7,"4,204.4"
MORNINGTON PENINSULA,Melbourne,Metropolitan Melbourne,2014,22,"4,855.9"
MOUNT ALEXANDER,Loddon Mallee South,Regional Victoria,2014,21.5,"7,888.0"
MOYNE,Great South Coast,Regional Victoria,2014,16.2,"3,899.5"
MURRINDINDI,Hume,Regional Victoria,2014,13.6,"3,302.5"
NILLUMBIK,Melbourne,Metropolitan Melbourne,2014,16,"8,669.9"
NORTHERN GRAMPIANS,Wimmera Southern Mallee,Regional Victoria,2014,31.1,"5,158.7"
PORT PHILLIP,Melbourne,Metropolitan Melbourne,2014,10,"3,976.8"
PYRENEES,Central Highlands,Regional Victoria,2014,16.3,"2,772.6"
SOUTH GIPPSLAND,Gippsland,Regional Victoria,2014,21.9,"7,267.4"
SOUTHERN GRAMPIANS,Great South Coast,Regional Victoria,2014,4.1,"4,877.0"
STONNINGTON,Melbourne,Metropolitan Melbourne,2014,8.4,"4,313.6"
STRATHBOGIE,Hume,Regional Victoria,2014,29.6,"6,074.4"
SURF COAST,G21,Regional Victoria,2014,17.2,"3,158.4"
SWAN HILL,Loddon Mallee North,Regional Victoria,2014,18.6,"8,419.2"
TOWONG,Hume,Regional Victoria,2014,18.5,"7,680.9"
WANGARATTA,Hume,Regional Victoria,2014,27.5,"3,189.1"
WARRNAMBOOL,Great South Coast,Regional Victoria,2014,14.6,"5,294.6"
WELLINGTON,Gippsland,Regional Victoria,2014,22.7,"6,337.9"
WEST WIMMERA,Wimmera Southern Mallee,Regional Victoria,2014,10,
WHITEHORSE,Melbourne,Metropolitan Melbourne,2014,17.6,
WHITTLESEA,Melbourne,Metropolitan Melbourne,2014,20.3,
WYNDHAM,Melbourne,Metropolitan Melbourne,2014,16,
YARRA,Melbourne,Metropolitan Melbourne,2014,10.6,"5,870.7"
YARRA RANGES,Melbourne,Metropolitan Melbourne,2014,21,"7,392.6"
YARRIAMBIACK,Wimmera Southern Mallee,Regional Victoria,2014,16,"8,526.6"
ALPINE,Hume,Regional Victoria,2015,16.9,"5,710.3"
ARARAT,Central Highlands,Regional Victoria,2015,33,"8,530.2"
BALLARAT,Central Highlands,Regional Victoria,2015,24.7,"8,269.9"
BANYULE,Melbourne,Metropolitan Melbourne,2015,17.3,"19,357.8"
BASS COAST,Gippsland,Regional Victoria,2015,22.6,"6,410.7"
BAW BAW,Gippsland,Regional Victoria,2015,20.6,"7,034.5"
BAYSIDE,Melbourne,Metropolitan Melbourne,2015,14.7,"6,300.1"
BENALLA,Hume,Regional Victoria,2015,30.8,"3,527.9"
BOROONDARA,Melbourne,Metropolitan Melbourne,2015,14.4,"6,315.1"
BRIMBANK,Melbourne,Metropolitan Melbourne,2015,17.3,"5,449.1"
BULOKE,Loddon Mallee North,Regional Victoria,2015,10.3,"12,154.7"
CAMPASPE,Loddon Mallee North,Regional Victoria,2015,23.3,"7,919.9"
CARDINIA,Melbourne,Metropolitan Melbourne,2015,19.7,"2,122.8"
CASEY,Melbourne,Metropolitan Melbourne,2015,18.5,"6,185.8"
CENTRAL GOLDFIELDS,Loddon Mallee South,Regional Victoria,2015,23.9,"5,925.4"
COLAC OTWAY,G21,Regional Victoria,2015,25.5,"7,287.9"
CORANGAMITE,Great South Coast,Regional Victoria,2015,21.1,"3,983.1"
DAREBIN,Melbourne,Metropolitan Melbourne,2015,17.1,"6,789.5"
EAST GIPPSLAND,Gippsland,Regional Victoria,2015,29.4,"9,726.1"
FRANKSTON,Melbourne,Metropolitan Melbourne,2015,19.1,"1,973.4"
GANNAWARRA,Loddon Mallee North,Regional Victoria,2015,19.6,"5,713.6"
GLEN EIRA,Melbourne,Metropolitan Melbourne,2015,13.9,"14,002.6"
GLENELG,Great South Coast,Regional Victoria,2015,20.7,"3,231.6"
GREATER BENDIGO,Loddon Mallee South,Regional Victoria,2015,24,"5,545.3"
GREATER DANDENONG,Melbourne,Metropolitan Melbourne,2015,16.6,"5,898.1"
GREATER GEELONG,G21,Regional Victoria,2015,19,"7,723.4"
GREATER SHEPPARTON,Hume,Regional Victoria,2015,25.5,"4,639.5"
HEPBURN,Central Highlands,Regional Victoria,2015,25.2,"4,652.6"
HINDMARSH,Wimmera Southern Mallee,Regional Victoria,2015,12.3,"3,885.6"
HOBSONS BAY,Melbourne,Metropolitan Melbourne,2015,16,"3,911.1"
HORSHAM,Wimmera Southern Mallee,Regional Victoria,2015,24.4,"4,624.9"
HUME,Melbourne,Metropolitan Melbourne,2015,20,"2,911.0"
INDIGO,Hume,Regional Victoria,2015,19.6,"6,333.9"
KINGSTON,Melbourne,Metropolitan Melbourne,2015,11.6,"7,622.3"
KNOX,Melbourne,Metropolitan Melbourne,2015,20.6,"3,745.6"
LATROBE,Gippsland,Regional Victoria,2015,26.6,"6,224.4"
LODDON,Loddon Mallee South,Regional Victoria,2015,21.8,"4,157.2"
MACEDON RANGES,Loddon Mallee South,Regional Victoria,2015,19.3,"5,452.2"
MANNINGHAM,Melbourne,Metropolitan Melbourne,2015,18.8,"4,088.0"
MANSFIELD,Hume,Regional Victoria,2015,18.4,"5,514.8"
MARIBYRNONG,Melbourne,Metropolitan Melbourne,2015,12.6,"5,818.0"
MAROONDAH,Melbourne,Metropolitan Melbourne,2015,16.3,"8,949.0"
MELBOURNE,Melbourne,Metropolitan Melbourne,2015,15.4,"3,819.4"
MILDURA,Loddon Mallee North,Regional Victoria,2015,22.3,"9,657.2"
MITCHELL,Hume,Regional Victoria,2015,27.4,"5,446.0"
MOIRA,Hume,Regional Victoria,2015,20.1,"5,643.6"
MONASH,Melbourne,Metropolitan Melbourne,2015,13.5,"9,628.4"
MOONEE VALLEY,Melbourne,Metropolitan Melbourne,2015,14.5,"8,265.5"
MOORABOOL,Central Highlands,Regional Victoria,2015,27.3,"6,580.9"
MORELAND,Melbourne,Metropolitan Melbourne,2015,17.6,"7,381.9"
MORNINGTON PENINSULA,Melbourne,Metropolitan Melbourne,2015,18.7,"9,154.6"
MOUNT ALEXANDER,Loddon Mallee South,Regional Victoria,2015,15.7,"2,689.4"
MOYNE,Great South Coast,Regional Victoria,2015,12,"7,487.7"
MURRINDINDI,Hume,Regional Victoria,2015,6.7,"7,732.9"
NILLUMBIK,Melbourne,Metropolitan Melbourne,2015,18.2,"6,764.3"
NORTHERN GRAMPIANS,Wimmera Southern Mallee,Regional Victoria,2015,26.9,"4,512.7"
PORT PHILLIP,Melbourne,Metropolitan Melbourne,2015,11.1,"4,646.5"
PYRENEES,Central Highlands,Regional Victoria,2015,7.3,"6,953.8"
SOUTH GIPPSLAND,Gippsland,Regional Victoria,2015,24,"2,934.2"
SOUTHERN GRAMPIANS,Great South Coast,Regional Victoria,2015,5.2,"7,066.2"
STONNINGTON,Melbourne,Metropolitan Melbourne,2015,7.9,"7,776.5"
STRATHBOGIE,Hume,Regional Victoria,2015,17.2,"4,695.7"
SURF COAST,G21,Regional Victoria,2015,20,"4,062.9"
SWAN HILL,Loddon Mallee North,Regional Victoria,2015,23.8,"9,454.8"
TOWONG,Hume,Regional Victoria,2015,13.9,"5,054.2"
WANGARATTA,Hume,Regional Victoria,2015,25.9,"3,466.7"
WARRNAMBOOL,Great South Coast,Regional Victoria,2015,14.7,"9,314.3"
WELLINGTON,Gippsland,Regional Victoria,2015,22.4,"6,136.8"
WEST WIMMERA,Wimmera Southern Mallee,Regional Victoria,2015,20,"4,979.8"
WHITEHORSE,Melbourne,Metropolitan Melbourne,2015,15.5,"2,933.6"
WHITTLESEA,Melbourne,Metropolitan Melbourne,2015,17.3,"8,089.9"
WYNDHAM,Melbourne,Metropolitan Melbourne,2015,16.6,"5,344.5"
YARRA,Melbourne,Metropolitan Melbourne,2015,8.9,"4,233.5"
YARRA RANGES,Melbourne,Metropolitan Melbourne,2015,19.6,"6,121.7"
YARRIAMBIACK,Wimmera Southern Mallee,Regional Victoria,2015,16.9,"3,587.7"
ALPINE,Hume,Regional Victoria,2016,10.7,"8,303.0"
ARARAT,Central Highlands,Regional Victoria,2016,15.4,"7,277.6"
BALLARAT,Central Highlands,Regional Victoria,2016,24.3,"2,743.2"
BANYULE,Melbourne,Metropolitan Melbourne,2016,15.8,"4,894.0"
BASS COAST,Gippsland,Regional Victoria,2016,22.4,"6,944.5"
BAW BAW,Gippsland,Regional Victoria,2016,21.1,
BAYSIDE,Melbourne,Metropolitan Melbourne,2016,15.7,
BENALLA,Hume,Regional Victoria,2016,27.4,
BOROONDARA,Melbourne,Metropolitan Melbourne,2016,13.1,
BRIMBANK,Melbourne,Metropolitan Melbourne,2016,14.8,"5,438.3"
BULOKE,Loddon Mallee North,Regional Victoria,2016,14.6,"7,377.8"
CAMPASPE,Loddon Mallee North,Regional Victoria,2016,24.2,"7,549.3"
CARDINIA,Melbourne,Metropolitan Melbourne,2016,20.1,"5,845.7"
CASEY,Melbourne,Metropolitan Melbourne,2016,15.9,"7,508.0"
CENTRAL GOLDFIELDS,Loddon Mallee South,Regional Victoria,2016,26.9,"8,147.9"
COLAC OTWAY,G21,Regional Victoria,2016,22.6,"18,168.8"
CORANGAMITE,Great South Coast,Regional Victoria,2016,15.2,"6,207.6"
DAREBIN,Melbourne,Metropolitan Melbourne,2016,18.8,"6,651.0"
EAST GIPPSLAND,Gippsland,Regional Victoria,2016,27,"5,786.4"
FRANKSTON,Melbourne,Metropolitan Melbourne,2016,19.4,"3,048.3"
GANNAWARRA,Loddon Mallee North,Regional Victoria,2016,19.3,"5,271.6"
GLEN EIRA,Melbourne,Metropolitan Melbourne,2016,14.6,"5,295.2"
GLENELG,Great South Coast,Regional Victoria,2016,22.3,"11,177.3"
GREATER BENDIGO,Loddon Mallee South,Regional Victoria,2016,27.3,"7,349.5"
GREATER DANDENONG,Melbourne,Metropolitan Melbourne,2016,16.6,"2,872.3"
GREATER GEELONG,G21,Regional Victoria,2016,17.9,"5,921.5"
GREATER SHEPPARTON,Hume,Regional Victoria,2016,24.8,"5,205.2"
HEPBURN,Central Highlands,Regional Victoria,2016,25.6,"5,817.7"
HINDMARSH,Wimmera Southern Mallee,Regional Victoria,2016,8.9,"3,374.5"
HOBSONS BAY,Melbourne,Metropolitan Melbourne,2016,14.6,"7,013.9"
HORSHAM,Wimmera Southern Mallee,Regional Victoria,2016,20.5,"8,525.5"
HUME,Melbourne,Metropolitan Melbourne,2016,19.2,"2,386.6"
INDIGO,Hume,Regional Victoria,2016,19.5,"4,632.6"
KINGSTON,Melbourne,Metropolitan Melbourne,2016,12.2,"12,141.5"
KNOX,Melbourne,Metropolitan Melbourne,2016,22.6,"2,776.8"
LATROBE,Gippsland,Regional Victoria,2016,27.8,"3,974.2"
LODDON,Loddon Mallee South,Regional Victoria,2016,13.9,"5,123.7"
MACEDON RANGES,Loddon Mallee South,Regional Victoria,2016,12.6,"6,596.5"
MANNINGHAM,Melbourne,Metropolitan Melbourne,2016,16,"3,769.5"
MANSFIELD,Hume,Regional Victoria,2016,20.6,"3,977.8"
MARIBYRNONG,Melbourne,Metropolitan Melbourne,2016,14.9,"3,675.6"
MAROONDAH,Melbourne,Metropolitan Melbourne,2016,16.5,"3,151.4"
MELBOURNE,Melbourne,Metropolitan Melbourne,2016,11.7,"3,528.3"
MILDURA,Loddon Mallee North,Regional Victoria,2016,22.7,"2,781.0"
MITCHELL,Hume,Regional Victoria,2016,26.5,"5,788.3"
MOIRA,Hume,Regional Victoria,2016,27.3,"6,867.9"
MONASH,Melbourne,Metropolitan Melbourne,2016,12.6,"3,468.3"
MOONEE VALLEY,Melbourne,Metropolitan Melbourne,2016,15.9,"6,672.1"
MOORABOOL,Central Highlands,Regional Victoria,2016,24.2,"3,547.1"
MORELAND,Melbourne,Metropolitan Melbourne,2016,18.9,"4,785.8"
MORNINGTON PENINSULA,Melbourne,Metropolitan Melbourne,2016,17.7,"3,596.4"
MOUNT ALEXANDER,Loddon Mallee South,Regional Victoria,2016,23.4,"5,068.4"
MOYNE,Great South Coast,Regional Victoria,2016,17.8,"5,059.6"
MURRINDINDI,Hume,Regional Victoria,2016,10.8,"7,926.6"
NILLUMBIK,Melbourne,Metropolitan Melbourne,2016,17.5,"3,523.1"
NORTHERN GRAMPIANS,Wimmera Southern Mallee,Regional Victoria,2016,30.5,"8,657.5"
PORT PHILLIP,Melbourne,Metropolitan Melbourne,2016,12.2,"5,161.8"
PYRENEES,Central Highlands,Regional Victoria,2016,10.2,"5,121.2"
SOUTH GIPPSLAND,Gippsland,Regional Victoria,2016,20.6,"9,200.9"
SOUTHERN GRAMPIANS,Great South Coast,Regional Victoria,2016,4.3,"7,197.2"
STONNINGTON,Melbourne,Metropolitan Melbourne,2016,6,"5,936.4"
STRATHBOGIE,Hume,Regional Victoria,2016,13.6,"7,815.2"
SURF COAST,G21,Regional Victoria,2016,18,"8,602.8"
SWAN HILL,Loddon Mallee North,Regional Victoria,2016,20,"2,822.7"
TOWONG,Hume,Regional Victoria,2016,22.2,"6,227.8"
WANGARATTA,Hume,Regional Victoria,2016,21,"6,532.8"
WARRNAMBOOL,Great South Coast,Regional Victoria,2016,15.8,"5,619.4"
WELLINGTON,Gippsland,Regional Victoria,2016,20.2,"3,109.3"
WEST WIMMERA,Wimmera Southern Mallee,Regional Victoria,2016,15.6,"4,328.0"
WHITEHORSE,Melbourne,Metropolitan Melbourne,2016,16,"6,221.5"
WHITTLESEA,Melbourne,Metropolitan Melbourne,2016,17.1,"2,538.8"
WYNDHAM,Melbourne,Metropolitan Melbourne,2016,17,"5,775.7"
YARRA,Melbourne,Metropolitan Melbourne,2016,9.7,"6,633.0"
YARRA RANGES,Melbourne,Metropolitan Melbourne,2016,17.9,"3,808.5"
YARRIAMBIACK,Wimmera Southern Mallee,Regional Victoria,2016,12.4,"2,789.3"
,G21,Regional Victoria,,,"9,968.7"
,Melbourne,Metropolitan Melbourne,,,"4,156.2"
,G21,Regional Victoria,,,"3,273.5"
,Hume,Regional Victoria,,,"8,643.5"
,,,,,"5,046.0"
,,,,,"3,841.7"
,,,,,"2,453.1"
,,,,,"6,965.0"
,,,,,"4,945.0"
,,,,,"5,250.6"
,,,,,"4,943.7"
,,,,,"3,915.6"
,,,,,"7,729.9"
,,,,,"6,343.2"
,,,,,"2,591.8"
,,,,,"4,614.7"
,,,,,"6,113.5"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,"5,440.1"
,,,,,"6,915.0"
,,,,,"7,339.9"
,,,,,"6,146.0"
,,,,,"6,913.0"
,,,,,"7,974.5"
,,,,,"18,554.4"
,,,,,"5,821.7"
,,,,,"6,273.7"
,,,,,"5,472.9"
,,,,,"2,500.3"
,,,,,"5,449.7"
,,,,,"5,040.4"
,,,,,"11,416.1"
,,,,,"7,138.9"
,,,,,"2,250.1"
,,,,,"6,253.7"
,,,,,"4,883.8"
,,,,,"5,892.9"
,,,,,"3,293.2"
,,,,,"6,597.1"
,,,,,"8,806.5"
,,,,,"2,091.3"
,,,,,"4,547.9"
,,,,,"10,541.7"
,,,,,"2,620.6"
,,,,,"4,621.8"
,,,,,"5,269.2"
,,,,,"5,488.2"
,,,,,"3,721.6"
,,,,,"3,698.6"
,,,,,"3,777.3"
,,,,,"3,159.1"
,,,,,"3,393.9"
,,,,,"2,474.1"
,,,,,"6,062.0"
,,,,,"6,752.4"
,,,,,"3,468.2"
,,,,,"6,335.8"
,,,,,"3,522.5"
,,,,,"4,619.9"
,,,,,"3,237.6"
,,,,,"4,385.1"
,,,,,"4,489.2"
,,,,,"7,801.4"
,,,,,"3,014.0"
,,,,,"7,926.5"
,,,,,"4,650.2"
,,,,,"4,908.0"
,,,,,"8,672.0"
,,,,,"6,760.5"
,,,,,"5,466.0"
,,,,,"6,894.5"
,,,,,"7,539.5"
