LGA,Year,Incidents Recorded,"Rate per 100,000 population"
 KINGSTON,2021,"6,759","4,235.8"
 MORNINGTON PENINSULA,2021,"6,423","3,769.6"
 PORT PHILLIP,2021,"9,396","9,077.6"
 STONNINGTON,2021,"8,053","7,577.3"
TOTAL,2021,"78,213","4,941.7"
 ARARAT,2021,"1,005","8,501.8"
 BALLARAT,2021,"7,532","6,637.2"
 BULOKE,2021,194,"3,164.8"
 CAMPASPE,2021,"2,440","6,330.3"
 CENTRAL GOLDFIELDS,2021,797,"5,955.8"
 COLAC-OTWAY,2021,"1,184","5,308.5"
 CORANGAMITE,2021,594,"3,705.8"
 GANNAWARRA,2021,551,"5,192.2"
 GLENELG,2021,"1,200","5,983.2"
 GOLDEN PLAINS,2021,440,"1,768.6"
 GREATER BENDIGO,2021,"7,715","6,364.4"
 GREATER GEELONG,2021,"14,731","5,440.3"
 HEPBURN,2021,438,"2,658.4"
 HINDMARSH,2021,308,"5,445.5"
 HORSHAM,2021,"1,564","7,678.3"
 LODDON,2021,407,"5,285.7"
 MACEDON RANGES,2021,"1,470","2,850.2"
 MILDURA,2021,"4,724","8,292.2"
 MOORABOOL,2021,"1,614","4,259.1"
 MOUNT ALEXANDER,2021,728,"3,620.8"
 MOYNE,2021,530,"3,065.2"
 NORTHERN GRAMPIANS,2021,832,"7,000.4"
 PYRENEES,2021,327,"4,295.3"
 QUEENSCLIFFE,2021,74,"2,287.5"
 SOUTHERN GRAMPIANS,2021,757,"4,591.2"
 SURF COAST,2021,"1,075","2,857.3"
 SWAN HILL,2021,"1,732","8,099.9"
 WARRNAMBOOL,2021,"2,269","6,406.2"
 WEST WIMMERA,2021,162,"4,073.4"
 YARRIAMBIACK,2021,282,"4,331.1"
TOTAL,2021,"57,676","5,506.5"
 JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,2021,965,
TOTAL,2021,965,
 UNINCORPORATED VIC,2021,66,
TOTAL,2021,66,
 BANYULE,2020,"6,705","5,152.9"
 BRIMBANK,2020,"15,355","7,527.0"
 DAREBIN,2020,"12,015","7,659.1"
 HOBSONS BAY,2020,"4,489","4,721.8"
 HUME,2020,"16,142","6,635.9"
 MARIBYRNONG,2020,"7,325","8,202.0"
 MELBOURNE,2020,"26,773","15,674.5"
 MELTON,2020,"10,089","5,824.0"
 MERRI-BEK,2020,"10,789","6,000.1"
 MOONEE VALLEY,2020,"6,448","5,092.2"
 NILLUMBIK,2020,"1,628","2,534.4"
 WHITTLESEA,2020,"12,131","5,258.4"
 WYNDHAM,2020,"13,196","4,601.2"
 YARRA,2020,"11,361","11,767.3"
TOTAL,2020,"154,446","6,872.3"
 ALPINE,2020,413,"3,170.1"
 BASS COAST,2020,"2,044","5,258.7"
 BAW BAW,2020,"3,678","6,609.5"
 BENALLA,2020,990,"6,895.1"
 BOROONDARA,2020,"6,238","3,510.0"
 EAST GIPPSLAND,2020,"3,670","7,679.4"
 GREATER SHEPPARTON,2020,"6,019","8,802.5"
 INDIGO,2020,443,"2,592.3"
 KNOX,2020,"8,733","5,357.0"
 LATROBE,2020,"9,621","12,562.7"
 MANNINGHAM,2020,"3,431","2,684.3"
 MANSFIELD,2020,371,"3,796.6"
 MAROONDAH,2020,"5,751","4,868.2"
 MITCHELL,2020,"3,211","6,691.8"
