LGA,Year,Incidents Recorded,"Rate per 100,000 population"
 GREATER GEELONG,2016,"18,627","7,776.5"
 HEPBURN,2016,729,"4,695.7"
 HINDMARSH,2016,235,"4,062.9"
 HORSHAM,2016,"1,880","9,454.8"
 LODDON,2016,382,"5,054.2"
 MACEDON RANGES,2016,"1,646","3,466.7"
 MILDURA,2016,"5,091","9,314.3"
 MOORABOOL,2016,"2,005","6,136.8"
 MOUNT ALEXANDER,2016,951,"4,979.8"
 MOYNE,2016,491,"2,933.6"
 NORTHERN GRAMPIANS,2016,936,"8,089.9"
 PYRENEES,2016,391,"5,344.5"
 QUEENSCLIFFE,2016,124,"4,233.5"
 SOUTHERN GRAMPIANS,2016,987,"6,121.7"
 SURF COAST,2016,"1,093","3,587.7"
 SWAN HILL,2016,"1,735","8,303.0"
 WARRNAMBOOL,2016,"2,492","7,277.6"
 WEST WIMMERA,2016,108,"2,743.2"
 YARRIAMBIACK,2016,330,"4,894.0"
TOTAL,2016,"67,193","6,944.5"
 JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,2016,"1,014",
TOTAL,2016,"1,014",
 UNINCORPORATED VIC,2016,121,
TOTAL,2016,121,
 BANYULE,2015,"6,857","5,438.3"
 BRIMBANK,2015,"14,819","7,377.8"
 DAREBIN,2015,"11,473","7,549.3"
 HOBSONS BAY,2015,"5,359","5,845.7"
 HUME,2015,"14,879","7,508.0"
 MARIBYRNONG,2015,"6,908","8,147.9"
 MELBOURNE,2015,"24,868","18,168.8"
 MELTON,2015,"8,375","6,207.6"
 MERRI-BEK,2015,"11,165","6,651.0"
 MOONEE VALLEY,2015,"6,957","5,786.4"
 NILLUMBIK,2015,"1,941","3,048.3"
 WHITTLESEA,2015,"10,377","5,271.6"
 WYNDHAM,2015,"11,322","5,295.2"
 YARRA,2015,"10,051","11,177.3"
TOTAL,2015,"145,351","7,349.5"
 ALPINE,2015,357,"2,872.3"
 BASS COAST,2015,"1,929","5,921.5"
 BAW BAW,2015,"2,490","5,205.2"
 BENALLA,2015,810,"5,817.7"
 BOROONDARA,2015,"5,897","3,374.5"
 EAST GIPPSLAND,2015,"3,147","7,013.9"
 GREATER SHEPPARTON,2015,"5,498","8,525.5"
 INDIGO,2015,380,"2,386.6"
 KNOX,2015,"7,352","4,632.6"
 LATROBE,2015,"9,017","12,141.5"
 MANNINGHAM,2015,"3,354","2,776.8"
 MANSFIELD,2015,339,"3,974.2"
 MAROONDAH,2015,"5,791","5,123.7"
 MITCHELL,2015,"2,656","6,596.5"
 MOIRA,2015,"1,104","3,769.5"
 MONASH,2015,"7,525","3,977.8"
 MURRINDINDI,2015,509,"3,675.6"
 SOUTH GIPPSLAND,2015,907,"3,151.4"
 STRATHBOGIE,2015,359,"3,528.3"
 TOWONG,2015,167,"2,781.0"
 WANGARATTA,2015,"1,629","5,788.3"
 WELLINGTON,2015,"2,965","6,867.9"
 WHITEHORSE,2015,"5,781","3,468.3"
 WODONGA,2015,"2,617","6,672.1"
 YARRA RANGES,2015,"5,441","3,547.1"
TOTAL,2015,"78,021","4,785.8"
 BAYSIDE,2015,"3,642","3,596.4"
 CARDINIA,2015,"4,678","5,068.4"
 CASEY,2015,"15,155","5,059.6"
 FRANKSTON,2015,"10,922","7,926.6"
 GLEN EIRA,2015,"5,141","3,523.1"
 GREATER DANDENONG,2015,"13,511","8,657.5"
 KINGSTON,2015,"8,065","5,161.8"
 MORNINGTON PENINSULA,2015,"8,134","5,121.2"
 PORT PHILLIP,2015,"9,788","9,200.9"
 STONNINGTON,2015,"7,775","7,197.2"
TOTAL,2015,"86,811","5,936.4"
 ARARAT,2015,910,"7,815.2"
 BALLARAT,2015,"8,730","8,602.8"
 BULOKE,2015,178,"2,822.7"
 CAMPASPE,2015,"2,331","6,227.8"
 CENTRAL GOLDFIELDS,2015,846,"6,532.8"
 COLAC-OTWAY,2015,"1,193","5,619.4"
 CORANGAMITE,2015,506,"3,109.3"
 GANNAWARRA,2015,456,"4,328.0"
 GLENELG,2015,"1,227","6,221.5"
 GOLDEN PLAINS,2015,543,"2,538.8"
 GREATER BENDIGO,2015,"6,348","5,775.7"
 GREATER GEELONG,2015,"15,450","6,633.0"
 HEPBURN,2015,584,"3,808.5"
 HINDMARSH,2015,162,"2,789.3"
 HORSHAM,2015,"1,973","9,968.7"
 LODDON,2015,313,"4,156.2"
 MACEDON RANGES,2015,"1,518","3,273.5"
 MILDURA,2015,"4,681","8,643.5"
 MOORABOOL,2015,"1,602","5,046.0"
 MOUNT ALEXANDER,2015,722,"3,841.7"
 MOYNE,2015,407,"2,453.1"
 NORTHERN GRAMPIANS,2015,811,"6,965.0"
 PYRENEES,2015,355,"4,945.0"
 QUEENSCLIFFE,2015,154,"5,250.6"
 SOUTHERN GRAMPIANS,2015,799,"4,943.7"
 SURF COAST,2015,"1,160","3,915.6"
 SWAN HILL,2015,"1,615","7,729.9"
 WARRNAMBOOL,2015,"2,157","6,343.2"
 WEST WIMMERA,2015,103,"2,591.8"
 YARRIAMBIACK,2015,315,"4,614.7"
TOTAL,2015,"58,149","6,113.5"
 JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,2015,774,
TOTAL,2015,774,
 UNINCORPORATED VIC,2015,93,
TOTAL,2015,93,
 BANYULE,2014,"6,806","5,440.1"
 BRIMBANK,2014,"13,724","6,915.0"
 DAREBIN,2014,"10,974","7,339.9"
 HOBSONS BAY,2014,"5,557","6,146.0"
 HUME,2014,"13,223","6,913.0"
 MARIBYRNONG,2014,"6,576","7,974.5"
 MELBOURNE,2014,"23,745","18,554.4"
 MELTON,2014,"7,528","5,821.7"
 MERRI-BEK,2014,"10,295","6,273.7"
 MOONEE VALLEY,2014,"6,445","5,472.9"
 NILLUMBIK,2014,"1,586","2,500.3"
 WHITTLESEA,2014,"10,240","5,449.7"
 WYNDHAM,2014,"10,157","5,040.4"
 YARRA,2014,"9,958","11,416.1"
TOTAL,2014,"136,814","7,138.9"
 ALPINE,2014,278,"2,250.1"
 BASS COAST,2014,"1,996","6,253.7"
 BAW BAW,2014,"2,278","4,883.8"
 BENALLA,2014,819,"5,892.9"
 BOROONDARA,2014,"5,686","3,293.2"
 EAST GIPPSLAND,2014,"2,921","6,597.1"
 GREATER SHEPPARTON,2014,"5,629","8,806.5"
 INDIGO,2014,329,"2,091.3"
 KNOX,2014,"7,160","4,547.9"
 LATROBE,2014,"7,815","10,541.7"
 MANNINGHAM,2014,"3,130","2,620.6"
 MANSFIELD,2014,388,"4,621.8"
 MAROONDAH,2014,"5,871","5,269.2"
 MITCHELL,2014,"2,145","5,488.2"
 MOIRA,2014,"1,083","3,721.6"
 MONASH,2014,"6,885","3,698.6"
 MURRINDINDI,2014,517,"3,777.3"
 SOUTH GIPPSLAND,2014,901,"3,159.1"
 STRATHBOGIE,2014,340,"3,393.9"
 TOWONG,2014,148,"2,474.1"
 WANGARATTA,2014,"1,689","6,062.0"
 WELLINGTON,2014,"2,900","6,752.4"
 WHITEHORSE,2014,"5,699","3,468.2"
 WODONGA,2014,"2,431","6,335.8"
 YARRA RANGES,2014,"5,353","3,522.5"
TOTAL,2014,"74,391","4,619.9"
 BAYSIDE,2014,"3,231","3,237.6"
 CARDINIA,2014,"3,862","4,385.1"
 CASEY,2014,"12,926","4,489.2"
 FRANKSTON,2014,"10,624","7,801.4"
 GLEN EIRA,2014,"4,331","3,014.0"
 GREATER DANDENONG,2014,"12,059","7,926.5"
 KINGSTON,2014,"7,171","4,650.2"
 MORNINGTON PENINSULA,2014,"7,681","4,908.0"
 PORT PHILLIP,2014,"9,058","8,672.0"
 STONNINGTON,2014,"7,159","6,760.5"
TOTAL,2014,"78,102","5,466.0"
 ARARAT,2014,797,"6,894.5"
 BALLARAT,2014,"7,533","7,539.5"
 BULOKE,2014,180,"2,841.4"
 CAMPASPE,2014,"2,330","6,240.3"
 CENTRAL GOLDFIELDS,2014,805,"6,248.1"
 COLAC-OTWAY,2014,"1,099","5,200.9"
 CORANGAMITE,2014,474,"2,900.9"
 GANNAWARRA,2014,427,"4,053.5"
 GLENELG,2014,"1,400","7,086.8"
 GOLDEN PLAINS,2014,467,"2,234.6"
 GREATER BENDIGO,2014,"6,182","5,726.5"
 GREATER GEELONG,2014,"15,067","6,615.8"
 HEPBURN,2014,494,"3,253.4"
 HINDMARSH,2014,147,"2,515.4"
 HORSHAM,2014,"1,577","7,985.6"
 LODDON,2014,237,"3,154.5"
 MACEDON RANGES,2014,"1,475","3,243.8"
 MILDURA,2014,"4,658","8,668.1"
 MOORABOOL,2014,"1,455","4,683.6"
 MOUNT ALEXANDER,2014,671,"3,626.8"
 MOYNE,2014,470,"2,846.4"
 NORTHERN GRAMPIANS,2014,697,"5,918.3"
 PYRENEES,2014,346,"4,909.9"
 QUEENSCLIFFE,2014,102,"3,434.3"
 SOUTHERN GRAMPIANS,2014,706,"4,343.3"
 SURF COAST,2014,982,"3,401.0"
 SWAN HILL,2014,"1,629","7,779.4"
 WARRNAMBOOL,2014,"1,986","5,888.1"
 WEST WIMMERA,2014,99,"2,451.7"
 YARRIAMBIACK,2014,189,"2,729.6"
TOTAL,2014,"54,681","5,826.3"
 JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,2014,719,
TOTAL,2014,719,
 UNINCORPORATED VIC,2014,100,
TOTAL,2014,100,
 BANYULE,2013,"6,430","5,172.4"
 BRIMBANK,2013,"15,273","7,785.6"
 DAREBIN,2013,"10,016","6,801.0"
 HOBSONS BAY,2013,"5,447","6,107.3"
 HUME,2013,"12,029","6,506.6"
 MARIBYRNONG,2013,"6,956","8,718.8"
 MELBOURNE,2013,"24,650","20,764.7"
 MELTON,2013,"6,826","5,507.7"
 MERRI-BEK,2013,"9,243","5,766.7"
 MOONEE VALLEY,2013,"6,248","5,411.2"
 NILLUMBIK,2013,"1,600","2,532.7"
 WHITTLESEA,2013,"9,988","5,571.4"
 WYNDHAM,2013,"9,941","5,226.3"
 YARRA,2013,"9,203","10,960.9"
TOTAL,2013,"133,850","7,209.4"
 ALPINE,2013,363,"2,955.3"
 BASS COAST,2013,"1,970","6,287.7"
 BAW BAW,2013,"2,215","4,854.6"
 BENALLA,2013,854,"6,153.6"
 BOROONDARA,2013,"5,964","3,498.3"
 EAST GIPPSLAND,2013,"3,070","7,007.7"
 GREATER SHEPPARTON,2013,"5,116","8,089.3"
 INDIGO,2013,355,"2,274.9"
 KNOX,2013,"6,922","4,427.3"
 LATROBE,2013,"7,618","10,277.4"
 MANNINGHAM,2013,"3,112","2,629.3"
 MANSFIELD,2013,293,"3,540.4"
 MAROONDAH,2013,"5,497","5,007.2"
 MITCHELL,2013,"1,991","5,268.9"
 MOIRA,2013,"1,177","4,072.0"
 MONASH,2013,"6,821","3,722.1"
 MURRINDINDI,2013,535,"3,944.6"
 SOUTH GIPPSLAND,2013,895,"3,165.6"
 STRATHBOGIE,2013,373,"3,780.3"
 TOWONG,2013,213,"3,573.2"
 WANGARATTA,2013,"1,679","6,072.3"
 WELLINGTON,2013,"2,798","6,549.5"
 WHITEHORSE,2013,"5,801","3,579.1"
 WODONGA,2013,"2,235","5,948.1"
 YARRA RANGES,2013,"5,052","3,347.9"
TOTAL,2013,"72,919","4,581.2"
 BAYSIDE,2013,"3,488","3,550.1"
 CARDINIA,2013,"4,344","5,135.3"
 CASEY,2013,"12,056","4,336.3"
 FRANKSTON,2013,"10,780","8,023.8"
 GLEN EIRA,2013,"4,740","3,355.5"
 GREATER DANDENONG,2013,"12,483","8,405.9"
 KINGSTON,2013,"7,329","4,811.1"
 MORNINGTON PENINSULA,2013,"7,517","4,881.1"
 PORT PHILLIP,2013,"8,758","8,573.2"
 STONNINGTON,2013,"7,440","7,189.3"
TOTAL,2013,"78,935","5,650.5"
 ARARAT,2013,874,"7,606.6"
 BALLARAT,2013,"8,108","8,244.5"
 BULOKE,2013,187,"2,927.4"
 CAMPASPE,2013,"2,100","5,643.2"
 CENTRAL GOLDFIELDS,2013,811,"6,328.5"
 COLAC-OTWAY,2013,"1,021","4,853.8"
 CORANGAMITE,2013,456,"2,778.8"
 GANNAWARRA,2013,413,"3,923.6"
 GLENELG,2013,"1,184","5,980.7"
 GOLDEN PLAINS,2013,402,"1,974.3"
 GREATER BENDIGO,2013,"6,053","5,712.7"
 GREATER GEELONG,2013,"13,553","6,067.9"
 HEPBURN,2013,524,"3,488.2"
 HINDMARSH,2013,184,"3,144.2"
 HORSHAM,2013,"1,347","6,839.6"
 LODDON,2013,264,"3,511.6"
 MACEDON RANGES,2013,"1,389","3,114.7"
 MILDURA,2013,"4,535","8,531.5"
 MOORABOOL,2013,"1,502","4,939.2"
 MOUNT ALEXANDER,2013,624,"3,419.7"
 MOYNE,2013,435,"2,647.4"
 NORTHERN GRAMPIANS,2013,683,"5,749.2"
 PYRENEES,2013,316,"4,554.6"
 QUEENSCLIFFE,2013,73,"2,431.7"
 SOUTHERN GRAMPIANS,2013,883,"5,399.0"
 SURF COAST,2013,983,"3,482.4"
 SWAN HILL,2013,"1,437","6,841.9"
 WARRNAMBOOL,2013,"1,910","5,714.6"
 WEST WIMMERA,2013,121,"2,934.0"
 YARRIAMBIACK,2013,215,"3,057.5"
TOTAL,2013,"52,587","5,675.2"
 Justice Institutions and Immigration Facilities,2013,"1,041",
Total,2013,"1,041",
 Unincorporated Vic,2013,66,
Total,2013,66,
